Gene1,Gene2
ATF4,CD320
ATF4,ZFP207
ATF4,ZC2HC1A
ATF4,WDFY2
ATF4,SH2B2
ATF4,ZMYM6
ATF4,ACVR2B
ATF4,PSMB2
ATF4,PLK3
ATF4,ABCD3
ATF4,VAV3
ATF4,HSD17B7
ATF4,TRF
ATF4,CERS6
ATF4,PPIA
ATF4,PRKX
ATF4,TREM1
ATF4,ANXA3
ATF4,HDAC1
ATF4,WNT5B
ATF4,TCTA
ATF4,RHOA
ATF4,PNP
ATF4,DLD
ATF4,CDKN2AIPNL
ATF4,CD244A
ATF4,3830406C13RIK
ATF4,PNPLA8
ATF4,AI429214
ATF4,ZNRF2
ATF4,ELMOD2
ATF4,GBP6
ATF4,NFIL3
ATF4,CLINT1
ATF4,IRF2BP1
ATF4,DSE
ATF4,SLC39A1
ATF4,LNPEP
ATF4,FTSJ1
ATF4,CCNH
ATF4,TOP1
ATF4,TLR2
ATF4,RSAD1
ATF4,IKZF1
ATF4,CNOT8
ATF4,CHD1
ATF4,ZFP639
ATF4,TGM1
ATF4,DLX1
ATF4,CCND3
ATF4,NKTR
ATF4,LATS2
ATF4,IFT57
ATF4,HMGCL
ATF4,TIMELESS
ATF4,TMEM208
ATF4,LRRC29
ATF4,SLC38A10
ATF4,REXO1
ATF4,PDE4B
ATF4,CD300LF
ATF4,TTC21B
ATF4,CCNG2
ATF4,TM6SF1
ATF4,ZBTB48
ATF4,SLC22A4
ATF4,CUTC
ATF4,COX15
ATF4,OLFR229
ATF4,ING1
ATF4,I830077J02RIK
ATF4,CSF2RB
ATF4,ZFP1
ATF4,SLC7A7
ATF4,PSME2
ATF4,IFI203
ATF4,F10
ATF4,CCL6
ATF4,ABCA8B
ATF4,TMEM192
ATF4,TMCO6
ATF4,LETM2
ATF4,C1QBP
ATF4,ZKSCAN6
ATF4,HVCN1
ATF4,WDR7
ATF4,CYTIP
ATF4,CTSK
ATF4,ADSSL1
ATF4,NR4A2
ATF4,LIPH
ATF4,RHOH
ATF4,ACAT2
ATF4,UNC119
ATF4,RAB5IF
ATF4,FOXS1
ATF4,CSNK1G2
ATF4,BAZ1B
ATF4,PLIN1
ATF4,IRF2
ATF4,RNASE10
ATF4,DTYMK
ATF4,SASH1
ATF4,YEATS2
ATF4,UQCRFS1
ATF4,SLC36A4
ATF4,CD226
ATF4,BMF
ATF4,BIN1
ATF4,MYO1C
ATF4,GM12500
ATF4,AMPD2
ATF4,ADGRE1
ATF4,1600002K03RIK
ATF4,ZDHHC13
ATF4,ITPRIP
ATF4,NUF2
ATF4,NTRK1
ATF4,INSRR
ATF4,RAB3GAP2
ATF4,PPARG
ATF4,PGK1
ATF4,CSF3R
ATF4,PHIP
ATF4,LITAF
ATF4,DGLUCY
ATF4,TBC1D15
ATF4,POLE3
ATF4,NMT1
ATF4,4933430I17RIK
ATF4,PSME3
ATF4,IL12B
ATF4,CNTRL
ATF4,TBK1
ATF4,TMEM258
ATF4,FEN1
ATF4,TNFSF4
ATF4,SEMA4C
ATF4,MRPL12
ATF4,ZFP740
ATF4,PRR15
ATF4,HEXIM1
ATF4,FAS
ATF4,SLC17A8
ATF4,SCML4
ATF4,CCL3
ATF4,RIPOR2
ATF4,WNT2B
ATF4,EML2
ATF4,ECPAS
ATF4,TOR1AIP2
ATF4,TOR1AIP1
ATF4,STIL
ATF4,SAMD12
ATF4,HNRNPL
ATF4,1810010H24RIK
ATF4,TBP
ATF4,PTGER2
ATF4,2010003K11RIK
ATF4,FAIM
ATF4,SLC2A9
ATF4,CCDC174
ATF4,TNFRSF17
ATF4,MDN1
ATF4,MAP3K3
ATF4,IFI211
ATF4,FLVCR2
ATF4,CELF1
ATF4,SEPT2
ATF4,HDLBP
ATF4,ABCA1
ATF4,PARP8
ATF4,NAPEPLD
ATF4,PLEK
ATF4,PAK6
ATF4,SLC25A25
ATF4,PIGZ
ATF4,GBP2
ATF4,FIP1L1
ATF4,FBP2
ATF4,DDX5
ATF4,TRAM2
ATF4,ITGAL
ATF4,RPSA
ATF4,B3GALT6
ATF4,PHF21A
ATF4,TMEM237
ATF4,FAM193A
ATF4,ZFYVE26
ATF4,WDR41
ATF4,RAD51B
ATF4,CYB5R4
ATF4,TEDC2
ATF4,RGS18
ATF4,TNFSF13
ATF4,TNF
ATF4,RNASE4
ATF4,ANG
ATF4,SKA1
ATF4,KLHL22
ATF4,IGSF6
ATF4,GTF2H2
ATF4,GM4925
ATF4,CPEB1
ATF4,COQ5
ATF4,C1S1
ATF4,ARL1
ATF4,TENT5A
ATF4,PILRA
ATF4,CD302
ATF4,9830107B12RIK
ATF4,SLC11A1
ATF4,ASPH
ATF4,SFXN5
ATF4,RADIL
ATF4,GINS1
ATF4,ARHGEF37
ATF4,TIFAB
ATF4,TFPT
ATF4,PRPF31
ATF4,NAGK
ATF4,MAPRE2
ATF4,ZFP212
ATF4,JOSD1
ATF4,TECPR1
ATF4,IFITM7
ATF4,2900011O08RIK
ATF4,TNFRSF23
ATF4,TFB1M
ATF4,RRAS
ATF4,AVEN
ATF4,ZFP566
ATF4,RARB
ATF4,OLR1
ATF4,ZFP512B
ATF4,RIOX1
ATF4,LIPN
ATF4,JAGN1
ATF4,ENC1
ATF4,CREM
ATF4,USP1
ATF4,DLX4
ATF4,PKN3
ATF4,PIP4P1
ATF4,NAA35
ATF4,DCK
ATF4,CTPS2
ATF4,NNT
ATF4,KCNK13
ATF4,FAM227B
ATF4,DTWD1
ATF4,ATP2A2
ATF4,RFFL
ATF4,ZFP609
ATF4,TNFAIP8
ATF4,RPRD1A
ATF4,PEX10
ATF4,HCAR2
ATF4,FAF1
ATF4,AIRE
ATF4,N4BP2L1
ATF4,NDUFAF4
ATF4,IMPACT
ATF4,GM9733
ATF4,DMKN
ATF4,ARMC5
ATF4,PARVG
ATF4,APBB1IP
ATF4,SLFN2
ATF4,RAB21
ATF4,ZZEF1
ATF4,RGS20
ATF4,NQO2
ATF4,CYB5D2
ATF4,AIG1
ATF4,LRRC63
ATF4,LCP1
ATF4,GGNBP2
ATF4,CD47
ATF4,TTC39A
ATF4,TSNAXIP1
ATF4,SLC16A13
ATF4,SH3BP2
ATF4,RREB1
ATF4,RANBP10
ATF4,PILRB2
ATF4,MGST1
ATF4,MARVELD1
ATF4,LST1
ATF4,JUNB
ATF4,EXOSC9
ATF4,BC049762
ATF4,ALYREF2
ATF4,ACOT7
ATF4,ZFP984
ATF4,WNT9B
ATF4,VSIG8
ATF4,VKORC1L1
ATF4,MRPL55
ATF4,FYCO1
ATF4,CAR13
ATF4,SP140
ATF4,GRM8
ATF4,TRAPPC1
ATF4,PARP16
ATF4,KLHL5
ATF4,FGFR1OP
ATF4,ESR1
ATF4,CNTROB
ATF4,SCN3A
ATF4,KCNAB1
ATF4,ARHGAP26
ATF4,TIFA
ATF4,MON1B
ATF4,NSFL1C
ATF4,MAD2L2
ATF4,ISOC2A
ATF4,C9ORF72
ATF4,TXNIP
ATF4,ELOVL5
ATF4,CTSC
ATF4,ATAD2
ATF4,ZFP628
ATF4,ABCB1B
ATF4,ZFP748
ATF4,ZFP64
ATF4,POLR3E
ATF4,INTS12
ATF4,GSTCD
ATF4,LIMS1
ATF4,FTL1
ATF4,TNFRSF1A
ATF4,SYNE2
ATF4,SNX14
ATF4,NSA2
ATF4,GFM2
ATF4,CAMKK2
ATF4,METTL6
ATF4,EAF1
ATF4,BCL2A1C
ATF4,ARHGDIB
ATF4,SPIN1
ATF4,SLAIN2
ATF4,CFAP43
ATF4,STX6
ATF4,SGO1
ATF4,PIRA7
ATF4,PIRA6
ATF4,PIRA4
ATF4,PIRA11
ATF4,PCDHGB5
ATF4,GM14548
ATF4,RANGAP1
ATF4,PHGR1
ATF4,KLRA17
ATF4,AAK1
ATF4,TREM3
ATF4,SULT6B2
ATF4,STN1
ATF4,ATP6V0A1
ATF4,VAMP8
ATF4,TMBIM6
ATF4,PATL1
ATF4,MBD6
ATF4,EXTL3
ATF4,CYP27A1
ATF4,TUBGCP5
ATF4,SLC25A10
ATF4,SEL1L
ATF4,PILRB1
ATF4,PAX6
ATF4,MUC20
ATF4,IL1RL2
ATF4,AMN1
ATF4,TRIM35
ATF4,MSL1
ATF4,MOB3A
ATF4,IZUMO4
ATF4,ITPRIPL1
ATF4,DBP
ATF4,OPA3
ATF4,EBAG9
ATF4,ART3
ATF4,UEVLD
ATF4,RDH12
ATF4,PANX1
ATF4,OCIAD1
ATF4,NRF1
ATF4,GPAT4
ATF4,GNG7
ATF4,BCL2A1D
ATF4,NUDT18
ATF4,NR1H3
ATF4,NGDN
ATF4,HBS1L
ATF4,GSK3B
ATF4,DEK
ATF4,SLBP
ATF4,APC
ATF4,SARNP
ATF4,ORMDL2
ATF4,KCNB1
ATF4,ISY1
ATF4,ZFP426
ATF4,MIS12
ATF4,GAPDH
ATF4,DERL2
ATF4,HBP1
ATF4,RFXANK
ATF4,PFDN4
ATF4,MTF1
ATF4,MRPS23
ATF4,IDH2
ATF4,HSD11B1
ATF4,GM45929
ATF4,CYP24A1
ATF4,CDC23
ATF4,CALM5
ATF4,BORCS8
ATF4,SLPI
ATF4,NAGPA
ATF4,KIF1BP
ATF4,H6PD
ATF4,AMZ2
ATF4,SEPHS2
ATF4,VPS26A
ATF4,THAP2
ATF4,RNF166
ATF4,RHEB
ATF4,CTU2
ATF4,AGFG2
ATF4,TM9SF4
ATF4,TTLL1
ATF4,RASAL2
ATF4,RAC2
ATF4,PRAM1
ATF4,IGFBP6
ATF4,H2AFV
ATF4,ERC1
ATF4,ENGASE
ATF4,GID8
ATF4,FUBP1
ATF4,EEF1A1
ATF4,DNAJB4
ATF4,BST2
ATF4,PAFAH2
ATF4,KLHL3
ATF4,HIST1H4C
ATF4,ZBTB34
ATF4,UGP2
ATF4,NAB2
ATF4,MAN1A
ATF4,CCN3
ATF4,SNX20
ATF4,PMP22
ATF4,ESYT2
ATF4,4930544D05RIK
ATF4,SGK1
ATF4,SFXN3
ATF4,MXD1
ATF4,KLHL40
ATF4,HACD2
ATF4,COQ9
ATF4,CIAPIN1
ATF4,CCM2
ATF4,AKTIP
ATF4,UQCC1
ATF4,SCAF11
ATF4,PGS1
ATF4,CKAP2L
ATF4,CDC42EP2
ATF4,ARRB2
ATF4,AKAP10
ATF4,ABCC3
ATF4,SERPINA3F
ATF4,RIN3
ATF4,NLRC4
ATF4,XRCC5
ATF4,TMEM67
ATF4,SLFN1
ATF4,PEF1
ATF4,MAP2K1
ATF4,E330009J07RIK
ATF4,TCP11
ATF4,MOB4
ATF4,TMEM33
ATF4,YTHDC2
ATF4,TPK1
ATF4,TMEM116
ATF4,SMIM14
ATF4,RBPMS
ATF4,PSEN1
ATF4,PDE7B
ATF4,LUZP1
ATF4,GPR35
ATF4,DGKG
ATF4,CCDC62
ATF4,AGPAT5
ATF4,AGAP1
ATF4,SIRPB1C
ATF4,ANXA1
ATF4,UBR3
ATF4,SURF2
ATF4,SURF1
ATF4,DNAJB9
ATF4,BCL2A1B
ATF4,ZFP341
ATF4,TDRD3
ATF4,SESTD1
ATF4,RAPGEF5
ATF4,PATE1
ATF4,MOCS2
ATF4,E130311K13RIK
ATF4,ZFP326
ATF4,TPST2
ATF4,ST6GAL1
ATF4,SRRD
ATF4,MGAT1
ATF4,IFI47
ATF4,HPS4
ATF4,SRPK2
ATF4,SLFN3
ATF4,PRKAG1
ATF4,PHC3
ATF4,ZFP800
ATF4,ZBTB21
ATF4,SUOX
ATF4,RABL3
ATF4,ODF2
ATF4,IRF4
ATF4,GTF2E1
ATF4,DPH5
ATF4,UBE2E2
ATF4,SYPL
ATF4,STRIP1
ATF4,RALGDS
ATF4,PTPN23
ATF4,PLD3
ATF4,EMD
ATF4,CD83
ATF4,ADGRL3
ATF4,2310022A10RIK
ATF4,XRRA1
ATF4,SPCS2
ATF4,PLEKHN1
ATF4,PLEKHG2
ATF4,HEATR9
ATF4,ALDH8A1
ATF4,IL1B
ATF4,IL10RB
ATF4,HIST1H2BE
ATF4,HIST1H1E
ATF4,TCP11L2
ATF4,SNHG11
ATF4,AKAP13
ATF4,SMPDL3B
ATF4,NAP1L4
ATF4,FES
ATF4,EIF5A
ATF4,DPAGT1
ATF4,ATF7
ATF4,PRDM12
ATF4,POLG
ATF4,PLXDC1
ATF4,OIP5
ATF4,NUSAP1
ATF4,NUP107
ATF4,MAP3K20
ATF4,HCST
ATF4,GSR
ATF4,GM45871
ATF4,EIF4G1
ATF4,ZFP273
ATF4,TMEM120B
ATF4,SERPINA11
ATF4,SWSAP1
ATF4,SSR3
ATF4,SEPT8
ATF4,RNF13
ATF4,RABGEF1
ATF4,PTPRE
ATF4,LRSAM1
ATF4,DDX24
ATF4,LRRC25
ATF4,GNL2
ATF4,CHST12
ATF4,CASP1
ATF4,ARRB1
ATF4,ZMYND8
ATF4,SMC4
ATF4,PRR3
ATF4,PIP5K1A
ATF4,IFT80
ATF4,GNL1
ATF4,FOSB
ATF4,NFX1
ATF4,FOXF2
ATF4,CCR1
ATF4,ATP12A
ATF4,ACAT3
