"BEND_MAP_ID","EdgeBetweenness","interaction","name","node::Source_selected","node::Target_selected","selected","shared interaction","shared name"
"70944","584.0","interacts with","MYC (interacts with) MTF2","false","false","false","interacts with","MYC (interacts with) MTF2"
"70942","643.1000000000071","interacts with","MYC (interacts with) CENPU","false","false","false","interacts with","MYC (interacts with) CENPU"
"70940","26764.81168422246","interacts with","MYC (interacts with) MAZ","false","false","false","interacts with","MYC (interacts with) MAZ"
"70936","584.0","interacts with","MYC (interacts with) NUF2","false","false","false","interacts with","MYC (interacts with) NUF2"
"70934","1028.9999999999916","interacts with","MYC (interacts with) PSMG1","false","false","false","interacts with","MYC (interacts with) PSMG1"
"70928","692.0000000000034","interacts with","MYC (interacts with) TEX10","false","false","false","interacts with","MYC (interacts with) TEX10"
"70924","25016.60490620494","interacts with","MYC (interacts with) FOSL2","false","false","false","interacts with","MYC (interacts with) FOSL2"
"70922","719.0","interacts with","MYC (interacts with) TK1","false","false","false","interacts with","MYC (interacts with) TK1"
"70920","631.2500000000006","interacts with","MYC (interacts with) ATG5","false","false","false","interacts with","MYC (interacts with) ATG5"
"70918","759.5121212121322","interacts with","MYC (interacts with) WDHD1","false","false","false","interacts with","MYC (interacts with) WDHD1"
"70916","719.0","interacts with","MYC (interacts with) BZW2","false","false","false","interacts with","MYC (interacts with) BZW2"
"70914","719.0","interacts with","MYC (interacts with) NDUFAF4","false","false","false","interacts with","MYC (interacts with) NDUFAF4"
"70912","919.3035714285743","interacts with","MYC (interacts with) SMAD5","false","false","false","interacts with","MYC (interacts with) SMAD5"
"70910","801.85714285714","interacts with","MYC (interacts with) PLK1","false","false","false","interacts with","MYC (interacts with) PLK1"
"70908","584.0","interacts with","MYC (interacts with) TSFM","false","false","false","interacts with","MYC (interacts with) TSFM"
"70906","791.5","interacts with","MYC (interacts with) MTERF3","false","false","false","interacts with","MYC (interacts with) MTERF3"
"70904","1015.9702380952319","interacts with","MYC (interacts with) DPH6","false","false","false","interacts with","MYC (interacts with) DPH6"
"70902","1020.4999999999914","interacts with","MYC (interacts with) E2F5","false","false","false","interacts with","MYC (interacts with) E2F5"
"70900","711.4444444444384","interacts with","MYC (interacts with) CKS2","false","false","false","interacts with","MYC (interacts with) CKS2"
"70898","778.100000000008","interacts with","MYC (interacts with) MCM4","false","false","false","interacts with","MYC (interacts with) MCM4"
"70896","584.0","interacts with","MYC (interacts with) MRPL1","false","false","false","interacts with","MYC (interacts with) MRPL1"
"70894","899.5000000000061","interacts with","MYC (interacts with) ZNF589","false","false","false","interacts with","MYC (interacts with) ZNF589"
"70892","692.0000000000034","interacts with","MYC (interacts with) XPO5","false","false","false","interacts with","MYC (interacts with) XPO5"
"70890","801.85714285714","interacts with","MYC (interacts with) ASNS","false","false","false","interacts with","MYC (interacts with) ASNS"
"70888","792.875","interacts with","MYC (interacts with) FANCI","false","false","false","interacts with","MYC (interacts with) FANCI"
"70886","757.6666666666739","interacts with","MYC (interacts with) CACYBP","false","false","false","interacts with","MYC (interacts with) CACYBP"
"70884","719.0","interacts with","MYC (interacts with) GNPNAT1","false","false","false","interacts with","MYC (interacts with) GNPNAT1"
"70882","1102.7333333333327","interacts with","MYC (interacts with) HMMR","false","false","false","interacts with","MYC (interacts with) HMMR"
"70880","692.0000000000034","interacts with","MYC (interacts with) AMZ2","false","false","false","interacts with","MYC (interacts with) AMZ2"
"70878","751.0999999999949","interacts with","MYC (interacts with) MCM3","false","false","false","interacts with","MYC (interacts with) MCM3"
"70876","764.0000000000042","interacts with","MYC (interacts with) TIPIN","false","false","false","interacts with","MYC (interacts with) TIPIN"
"70874","1300.4642857142833","interacts with","MYC (interacts with) SLC38A1","false","false","false","interacts with","MYC (interacts with) SLC38A1"
"70870","820.6999999999897","interacts with","MYC (interacts with) NUDT15","false","false","false","interacts with","MYC (interacts with) NUDT15"
"70868","636.7272727272707","interacts with","MYC (interacts with) HMGN4","false","false","false","interacts with","MYC (interacts with) HMGN4"
"70866","818.8333333333279","interacts with","MYC (interacts with) SLC38A2","false","false","false","interacts with","MYC (interacts with) SLC38A2"
"70864","857.652777777768","interacts with","MYC (interacts with) GYG1","false","false","false","interacts with","MYC (interacts with) GYG1"
"70862","719.0","interacts with","MYC (interacts with) ASPH","false","false","false","interacts with","MYC (interacts with) ASPH"
"70860","737.7321428571414","interacts with","MYC (interacts with) CMC1","false","false","false","interacts with","MYC (interacts with) CMC1"
"70858","719.0","interacts with","MYC (interacts with) MIS18BP1","false","false","false","interacts with","MYC (interacts with) MIS18BP1"
"70856","921.3035714285743","interacts with","MYC (interacts with) PAFAH1B3","false","false","false","interacts with","MYC (interacts with) PAFAH1B3"
"70854","692.0000000000034","interacts with","MYC (interacts with) PLAGL2","false","false","false","interacts with","MYC (interacts with) PLAGL2"
"70850","1083.3999999999942","interacts with","MYC (interacts with) COMMD10","false","false","false","interacts with","MYC (interacts with) COMMD10"
"70848","681.8333333333311","interacts with","MYC (interacts with) BUB1B","false","false","false","interacts with","MYC (interacts with) BUB1B"
"70846","792.875","interacts with","MYC (interacts with) UTP18","false","false","false","interacts with","MYC (interacts with) UTP18"
"70844","719.0","interacts with","MYC (interacts with) ING3","false","false","false","interacts with","MYC (interacts with) ING3"
"70842","1050.8999999999994","interacts with","MYC (interacts with) C12orf45","false","false","false","interacts with","MYC (interacts with) C12orf45"
"70840","1386.4809523809681","interacts with","MYC (interacts with) MEST","false","false","false","interacts with","MYC (interacts with) MEST"
"70838","1113.0416666666774","interacts with","MYC (interacts with) CCNB1","false","false","false","interacts with","MYC (interacts with) CCNB1"
"70836","1206.6523809523876","interacts with","MYC (interacts with) ZNF551","false","false","false","interacts with","MYC (interacts with) ZNF551"
"70834","834.8750000000057","interacts with","MYC (interacts with) STMN1","false","false","false","interacts with","MYC (interacts with) STMN1"
"70832","584.0","interacts with","MYC (interacts with) ZNF770","false","false","false","interacts with","MYC (interacts with) ZNF770"
"70830","1151.12051282051","interacts with","MYC (interacts with) HINFP","false","false","false","interacts with","MYC (interacts with) HINFP"
"70828","7526.061354812982","interacts with","MYC (interacts with) CEBPZ","false","false","false","interacts with","MYC (interacts with) CEBPZ"
"70826","673.9999999999981","interacts with","MYC (interacts with) KNTC1","false","false","false","interacts with","MYC (interacts with) KNTC1"
"70824","827.000000000006","interacts with","MYC (interacts with) ZNF33A","false","false","false","interacts with","MYC (interacts with) ZNF33A"
"70822","584.0","interacts with","MYC (interacts with) ZNF143","false","false","false","interacts with","MYC (interacts with) ZNF143"
"70820","722.3194444444355","interacts with","MYC (interacts with) ZNF644","false","false","false","interacts with","MYC (interacts with) ZNF644"
"70818","1016.2321428571368","interacts with","MYC (interacts with) MAD2L1","false","false","false","interacts with","MYC (interacts with) MAD2L1"
"70816","809.875000000005","interacts with","MYC (interacts with) MRPS27","false","false","false","interacts with","MYC (interacts with) MRPS27"
"70812","719.0","interacts with","MYC (interacts with) KPNA2","false","false","false","interacts with","MYC (interacts with) KPNA2"
"70810","584.0","interacts with","MYC (interacts with) C17orf75","false","false","false","interacts with","MYC (interacts with) C17orf75"
"70808","7699.088888888941","interacts with","MYC (interacts with) SRF","false","false","false","interacts with","MYC (interacts with) SRF"
"70806","584.0","interacts with","MYC (interacts with) NUP54","false","false","false","interacts with","MYC (interacts with) NUP54"
"70804","764.0000000000042","interacts with","MYC (interacts with) ZNF766","false","false","false","interacts with","MYC (interacts with) ZNF766"
"70802","1026.0952380952504","interacts with","MYC (interacts with) ZNF232","false","false","false","interacts with","MYC (interacts with) ZNF232"
"70798","584.0","interacts with","MYC (interacts with) VPS72","false","false","false","interacts with","MYC (interacts with) VPS72"
"70796","584.0","interacts with","MYC (interacts with) CDK5RAP1","false","false","false","interacts with","MYC (interacts with) CDK5RAP1"
"70794","719.0","interacts with","MYC (interacts with) MPHOSPH9","false","false","false","interacts with","MYC (interacts with) MPHOSPH9"
"70792","915.5714285714226","interacts with","MYC (interacts with) FOSL1","false","false","false","interacts with","MYC (interacts with) FOSL1"
"70790","682.5734265734312","interacts with","MYC (interacts with) C11orf1","false","false","false","interacts with","MYC (interacts with) C11orf1"
"70786","685.5000000000016","interacts with","MYC (interacts with) RFC4","false","false","false","interacts with","MYC (interacts with) RFC4"
"70780","1017.8571428571552","interacts with","MYC (interacts with) IQCB1","false","false","false","interacts with","MYC (interacts with) IQCB1"
"70778","629.4615384615435","interacts with","MYC (interacts with) ZNF398","false","false","false","interacts with","MYC (interacts with) ZNF398"
"70776","584.0","interacts with","MYC (interacts with) ZNF721","false","false","false","interacts with","MYC (interacts with) ZNF721"
"70774","1258.250000000007","interacts with","MYC (interacts with) PON2","false","false","false","interacts with","MYC (interacts with) PON2"
"70772","1196.7500000000011","interacts with","MYC (interacts with) RNF138","false","false","false","interacts with","MYC (interacts with) RNF138"
"70770","584.0","interacts with","MYC (interacts with) TATDN3","false","false","false","interacts with","MYC (interacts with) TATDN3"
"70768","3715.815873015909","interacts with","MYC (interacts with) ATF3","false","false","false","interacts with","MYC (interacts with) ATF3"
"70766","764.5000000000056","interacts with","MYC (interacts with) GGCT","false","false","false","interacts with","MYC (interacts with) GGCT"
"70762","1369.2809523809674","interacts with","MYC (interacts with) MTAP","false","false","false","interacts with","MYC (interacts with) MTAP"
"70758","699.0000000000036","interacts with","MYC (interacts with) ZNF286A","false","false","false","interacts with","MYC (interacts with) ZNF286A"
"70756","692.0000000000034","interacts with","MYC (interacts with) ANP32E","false","false","false","interacts with","MYC (interacts with) ANP32E"
"70752","784.6666666666574","interacts with","MYC (interacts with) DCLRE1C","false","false","false","interacts with","MYC (interacts with) DCLRE1C"
"70750","743.5454545454512","interacts with","MYC (interacts with) PHF20","false","false","false","interacts with","MYC (interacts with) PHF20"
"70748","830.1666666666742","interacts with","MYC (interacts with) COMMD3","false","false","false","interacts with","MYC (interacts with) COMMD3"
"70746","998.75","interacts with","MYC (interacts with) CPSF3","false","false","false","interacts with","MYC (interacts with) CPSF3"
"70744","21013.34632034624","interacts with","MYC (interacts with) NR2F2","false","false","false","interacts with","MYC (interacts with) NR2F2"
"70740","608.8571428571378","interacts with","MYC (interacts with) TMEM69","false","false","false","interacts with","MYC (interacts with) TMEM69"
"70736","827.000000000006","interacts with","MYC (interacts with) NUP85","false","false","false","interacts with","MYC (interacts with) NUP85"
"70734","915.4666666666653","interacts with","MYC (interacts with) CHEK2","false","false","false","interacts with","MYC (interacts with) CHEK2"
"70730","791.5","interacts with","MYC (interacts with) FASTKD2","false","false","false","interacts with","MYC (interacts with) FASTKD2"
"70728","1201.6000000000001","interacts with","MYC (interacts with) LRR1","false","false","false","interacts with","MYC (interacts with) LRR1"
"70726","692.0000000000034","interacts with","MYC (interacts with) BPTF","false","false","false","interacts with","MYC (interacts with) BPTF"
"70724","774.857142857149","interacts with","MYC (interacts with) ACTL6A","false","false","false","interacts with","MYC (interacts with) ACTL6A"
"70722","805.5099206349322","interacts with","MYC (interacts with) AURKB","false","false","false","interacts with","MYC (interacts with) AURKB"
"70720","837.6666666666696","interacts with","MYC (interacts with) PRKCE","false","false","false","interacts with","MYC (interacts with) PRKCE"
"70718","1086.4319985569916","interacts with","MYC (interacts with) ZNF562","false","false","false","interacts with","MYC (interacts with) ZNF562"
"70716","722.5833333333334","interacts with","MYC (interacts with) CDCA3","false","false","false","interacts with","MYC (interacts with) CDCA3"
"70714","948.4999999999924","interacts with","MYC (interacts with) GMPS","false","false","false","interacts with","MYC (interacts with) GMPS"
"70712","584.0","interacts with","MYC (interacts with) PCNA","false","false","false","interacts with","MYC (interacts with) PCNA"
"70708","584.0","interacts with","MYC (interacts with) RBPJ","false","false","false","interacts with","MYC (interacts with) RBPJ"
"70704","962.2857142857264","interacts with","MYC (interacts with) RHOBTB3","false","false","false","interacts with","MYC (interacts with) RHOBTB3"
"70702","865.375","interacts with","MYC (interacts with) C12orf10","false","false","false","interacts with","MYC (interacts with) C12orf10"
"70696","719.0","interacts with","MYC (interacts with) ANXA4","false","false","false","interacts with","MYC (interacts with) ANXA4"
"70694","749.9999999999949","interacts with","MYC (interacts with) ASNSD1","false","false","false","interacts with","MYC (interacts with) ASNSD1"
"70692","584.0","interacts with","MYC (interacts with) G2E3","false","false","false","interacts with","MYC (interacts with) G2E3"
"70690","1236.3500000000013","interacts with","MYC (interacts with) SHMT2","false","false","false","interacts with","MYC (interacts with) SHMT2"
"70688","637.7272727272708","interacts with","MYC (interacts with) PHF5A","false","false","false","interacts with","MYC (interacts with) PHF5A"
"70686","683.8750000000015","interacts with","MYC (interacts with) MTTP","false","false","false","interacts with","MYC (interacts with) MTTP"
"70684","934.5","interacts with","MYC (interacts with) UCP2","false","false","false","interacts with","MYC (interacts with) UCP2"
"70682","1450.1499999999935","interacts with","MYC (interacts with) ZSCAN2","false","false","false","interacts with","MYC (interacts with) ZSCAN2"
"70678","1205.3333333333264","interacts with","MYC (interacts with) USP7","false","false","false","interacts with","MYC (interacts with) USP7"
"70676","964.8000000000121","interacts with","MYC (interacts with) LAMC1","false","false","false","interacts with","MYC (interacts with) LAMC1"
"70674","649.6666666666583","interacts with","MYC (interacts with) KIF22","false","false","false","interacts with","MYC (interacts with) KIF22"
"70672","943.9523809523758","interacts with","MYC (interacts with) PUS7L","false","false","false","interacts with","MYC (interacts with) PUS7L"
"70670","757.6666666666739","interacts with","MYC (interacts with) NUP93","false","false","false","interacts with","MYC (interacts with) NUP93"
"70668","944.5777777777779","interacts with","MYC (interacts with) ZNF581","false","false","false","interacts with","MYC (interacts with) ZNF581"
"70666","635.5454545454526","interacts with","MYC (interacts with) THAP4","false","false","false","interacts with","MYC (interacts with) THAP4"
"70664","749.9999999999949","interacts with","MYC (interacts with) TPX2","false","false","false","interacts with","MYC (interacts with) TPX2"
"70660","719.0","interacts with","MYC (interacts with) PARPBP","false","false","false","interacts with","MYC (interacts with) PARPBP"
"70658","719.0","interacts with","MYC (interacts with) NUP37","false","false","false","interacts with","MYC (interacts with) NUP37"
"70656","648.4444444444362","interacts with","MYC (interacts with) RSU1","false","false","false","interacts with","MYC (interacts with) RSU1"
"70648","775.700000000008","interacts with","MYC (interacts with) GMNN","false","false","false","interacts with","MYC (interacts with) GMNN"
"70644","830.8272727272836","interacts with","MYC (interacts with) SLC7A6","false","false","false","interacts with","MYC (interacts with) SLC7A6"
"70642","948.4999999999924","interacts with","MYC (interacts with) PSAT1","false","false","false","interacts with","MYC (interacts with) PSAT1"
"70640","1645.6333333333505","interacts with","MYC (interacts with) ZNF850","false","false","false","interacts with","MYC (interacts with) ZNF850"
"70636","607.2000000000038","interacts with","MYC (interacts with) CETN3","false","false","false","interacts with","MYC (interacts with) CETN3"
"70634","1193.8857142857269","interacts with","MYC (interacts with) NPRL2","false","false","false","interacts with","MYC (interacts with) NPRL2"
"70632","719.0","interacts with","MYC (interacts with) MST1","false","false","false","interacts with","MYC (interacts with) MST1"
"70630","720.5416666666578","interacts with","MYC (interacts with) ZNF561","false","false","false","interacts with","MYC (interacts with) ZNF561"
"70624","656.5","interacts with","MYC (interacts with) ZNF253","false","false","false","interacts with","MYC (interacts with) ZNF253"
"70620","799.68333333333","interacts with","MYC (interacts with) CENPA","false","false","false","interacts with","MYC (interacts with) CENPA"
"70618","584.0","interacts with","MYC (interacts with) KIF20B","false","false","false","interacts with","MYC (interacts with) KIF20B"
"70616","649.6666666666583","interacts with","MYC (interacts with) UBL7","false","false","false","interacts with","MYC (interacts with) UBL7"
"70614","3256.916666666647","interacts with","MYC (interacts with) HPRT1","false","false","false","interacts with","MYC (interacts with) HPRT1"
"70612","948.9444444444547","interacts with","MYC (interacts with) MT1X","false","false","false","interacts with","MYC (interacts with) MT1X"
"70610","584.0","interacts with","MYC (interacts with) UGP2","false","false","false","interacts with","MYC (interacts with) UGP2"
"70606","1170.453846153832","interacts with","MYC (interacts with) RFC2","false","false","false","interacts with","MYC (interacts with) RFC2"
"70604","783.4444444444351","interacts with","MYC (interacts with) THAP1","false","false","false","interacts with","MYC (interacts with) THAP1"
"70602","764.0000000000042","interacts with","MYC (interacts with) TGIF1","false","false","false","interacts with","MYC (interacts with) TGIF1"
"70600","1964.2833333333513","interacts with","MYC (interacts with) E2F7","false","false","false","interacts with","MYC (interacts with) E2F7"
"70598","719.0","interacts with","MYC (interacts with) C1GALT1","false","false","false","interacts with","MYC (interacts with) C1GALT1"
"70596","1315.7833333333256","interacts with","MYC (interacts with) HMGA2","false","false","false","interacts with","MYC (interacts with) HMGA2"
"70594","852.1750000000085","interacts with","MYC (interacts with) SKIL","false","false","false","interacts with","MYC (interacts with) SKIL"
"70592","1147.0","interacts with","MYC (interacts with) DNMT3B","false","false","false","interacts with","MYC (interacts with) DNMT3B"
"70590","960.4666666666736","interacts with","MYC (interacts with) AXL","false","false","false","interacts with","MYC (interacts with) AXL"
"70588","791.5","interacts with","MYC (interacts with) MSH2","false","false","false","interacts with","MYC (interacts with) MSH2"
"70586","1169.4749999999965","interacts with","MYC (interacts with) AGTRAP","false","false","false","interacts with","MYC (interacts with) AGTRAP"
"70584","584.0","interacts with","MYC (interacts with) GMPR2","false","false","false","interacts with","MYC (interacts with) GMPR2"
"70580","692.0000000000034","interacts with","MYC (interacts with) HMGB2","false","false","false","interacts with","MYC (interacts with) HMGB2"
"70578","692.0000000000034","interacts with","MYC (interacts with) CENPN","false","false","false","interacts with","MYC (interacts with) CENPN"
"70576","995.5857142857228","interacts with","MYC (interacts with) E2F8","false","false","false","interacts with","MYC (interacts with) E2F8"
"70574","584.0","interacts with","MYC (interacts with) NIF3L1","false","false","false","interacts with","MYC (interacts with) NIF3L1"
"70572","27995.860028859825","interacts with","MYC (interacts with) MYBL2","false","false","false","interacts with","MYC (interacts with) MYBL2"
"70570","832.2857142857198","interacts with","MYC (interacts with) EPHX2","false","false","false","interacts with","MYC (interacts with) EPHX2"
"70566","584.0","interacts with","MYC (interacts with) ORC4","false","false","false","interacts with","MYC (interacts with) ORC4"
"70560","719.0","interacts with","MYC (interacts with) GEMIN2","false","false","false","interacts with","MYC (interacts with) GEMIN2"
"70558","826.6833333333228","interacts with","MYC (interacts with) S100A16","false","false","false","interacts with","MYC (interacts with) S100A16"
"70556","1064.0952380952422","interacts with","MYC (interacts with) CRAT","false","false","false","interacts with","MYC (interacts with) CRAT"
"70554","1322.9166666666763","interacts with","MYC (interacts with) LIN28B","false","false","false","interacts with","MYC (interacts with) LIN28B"
"70550","625.6428571428529","interacts with","MYC (interacts with) CAMK2D","false","false","false","interacts with","MYC (interacts with) CAMK2D"
"70548","1569.7999999999936","interacts with","MYC (interacts with) NT5DC2","false","false","false","interacts with","MYC (interacts with) NT5DC2"
"70542","988.3142857142769","interacts with","MYC (interacts with) TOP2A","false","false","false","interacts with","MYC (interacts with) TOP2A"
"70540","719.0","interacts with","MYC (interacts with) EFNA1","false","false","false","interacts with","MYC (interacts with) EFNA1"
"70538","24728.386580086335","interacts with","MYC (interacts with) FOXA1","false","false","false","interacts with","MYC (interacts with) FOXA1"
"70534","692.0000000000034","interacts with","MYC (interacts with) ETV5","false","false","false","interacts with","MYC (interacts with) ETV5"
"70532","1217.8749999999932","interacts with","MYC (interacts with) DNASE1","false","false","false","interacts with","MYC (interacts with) DNASE1"
"70530","778.100000000008","interacts with","MYC (interacts with) HPN","false","false","false","interacts with","MYC (interacts with) HPN"
"70528","931.2857142857031","interacts with","MYC (interacts with) MAF","false","false","false","interacts with","MYC (interacts with) MAF"
"70526","719.0","interacts with","MYC (interacts with) APOA2","false","false","false","interacts with","MYC (interacts with) APOA2"
"70524","784.6666666666574","interacts with","MYC (interacts with) DDC","false","false","false","interacts with","MYC (interacts with) DDC"
"70522","719.0","interacts with","MYC (interacts with) RBP4","false","false","false","interacts with","MYC (interacts with) RBP4"
"70520","3056.6274509804302","interacts with","MYC (interacts with) MT1G","false","false","false","interacts with","MYC (interacts with) MT1G"
"70518","584.0","interacts with","MYC (interacts with) APOB","false","false","false","interacts with","MYC (interacts with) APOB"
"70516","584.0","interacts with","MYC (interacts with) ASGR1","false","false","false","interacts with","MYC (interacts with) ASGR1"
"70514","719.0","interacts with","MYC (interacts with) AGT","false","false","false","interacts with","MYC (interacts with) AGT"
"70512","719.0","interacts with","MYC (interacts with) F2","false","false","false","interacts with","MYC (interacts with) F2"
"70508","719.0","interacts with","MYC (interacts with) APOA1","false","false","false","interacts with","MYC (interacts with) APOA1"
