,source_gene,target_gene
320,MAFF,KNSTRN
321,MAFF,CEBPD
322,MAFF,AHSG
323,MAFF,ZNF519
324,MAFF,PRC1
325,MAFF,SF3B3
326,MAFF,FANCI
327,MAFF,DNMT1
328,MAFF,PCNA
329,MAFF,TK1
330,MAFF,DCAF13
331,MAFF,BRIX1
332,MAFF,SRF
333,MAFF,GGCT
334,MAFF,ZWILCH
335,MAFF,MAD2L1
336,MAFF,MSH2
337,MAFF,COQ3
338,MAFF,VPS72
339,MAFF,RNASEH2A
340,MAFF,TIPIN
341,MAFF,HGD
342,MAFF,KIF23
343,MAFF,MRPL1
344,MAFF,MIS18BP1
345,MAFF,APOA2
346,MAFF,HMMR
347,MAFF,RFX5
348,MAFF,TPX2
349,MAFF,PPT1
350,MAFF,FOSL2
351,MAFF,MST1
352,MAFF,MYBL2
353,MAFF,POLB
354,MAFF,PRAP1
355,MAFF,STMN1
356,MAFF,GMPS
357,MAFF,F2
358,MAFF,CKS2
359,MAFF,ZNF286A
360,MAFF,CENPN
361,MAFF,KLF6
362,MAFF,CEBPZ
363,MAFF,ELF1
364,MAFF,MORN2
365,MAFF,AGTRAP
366,MAFF,CHEK1
367,MAFF,ZNF532
368,MAFF,HMGN4
369,MAFF,FGA
370,MAFF,AURKA
371,MAFF,KIF20B
372,MAFF,NUF2
373,FASTKD2,JUND
374,FASTKD2,MAZ
375,FASTKD2,REST
376,FASTKD2,MYC
377,FASTKD2,CREB1
378,FASTKD2,CEBPD
379,FASTKD2,RFX5
380,FASTKD2,FOSL2
381,FASTKD2,MYBL2
382,FASTKD2,ELF1
383,BCS1L,JUND
384,BCS1L,REST
385,BCS1L,CREB1
386,BCS1L,CEBPD
387,BCS1L,RFX5
388,BCS1L,FOSL2
389,MTHFD1,JUND
390,MTHFD1,MAZ
391,MTHFD1,REST
392,MTHFD1,MYC
393,MTHFD1,CREB1
394,MTHFD1,CEBPD
395,MTHFD1,RFX5
396,MTHFD1,FOSL2
397,MTHFD1,MYBL2
398,MTHFD1,ELF1
399,RAB25,JUND
400,RAB25,CREB1
401,RAB25,CEBPD
402,RAB25,RFX5
403,RAB25,FOSL2
404,PMAIP1,JUND
405,PMAIP1,MAZ
406,PMAIP1,REST
407,PMAIP1,MYC
408,PMAIP1,CREB1
409,PMAIP1,CEBPD
410,PMAIP1,RFX5
411,PMAIP1,FOSL2
412,PMAIP1,MYBL2
413,PMAIP1,ELF1
414,RFC2,MAFF
415,RFC2,JUND
416,RFC2,MAZ
417,RFC2,REST
418,RFC2,MYC
419,RFC2,CREB1
420,RFC2,CEBPD
421,RFC2,RFX5
422,RFC2,FOSL2
423,RFC2,MYBL2
424,RFC2,ELF1
425,DNASE1,MAFF
426,DNASE1,JUND
427,DNASE1,MAZ
428,DNASE1,REST
429,DNASE1,MYC
430,DNASE1,CREB1
431,DNASE1,CEBPD
432,DNASE1,RFX5
433,DNASE1,FOSL2
434,DNASE1,MYBL2
435,DNASE1,ELF1
436,FEN1,JUND
437,FEN1,MAZ
438,FEN1,REST
439,FEN1,MYC
440,FEN1,CREB1
441,FEN1,CEBPD
442,FEN1,RFX5
443,FEN1,FOSL2
444,FEN1,MYBL2
445,FEN1,ELF1
446,TPM2,JUND
447,TPM2,MAZ
448,TPM2,REST
449,TPM2,MYC
450,TPM2,CREB1
451,TPM2,CEBPD
452,TPM2,RFX5
453,TPM2,FOSL2
454,TPM2,MYBL2
455,TPM2,ELF1
456,ISY1,JUND
457,ISY1,CREB1
458,ISY1,CEBPD
459,ISY1,FOSL2
460,ZNF569,JUND
461,ZNF569,MAZ
462,ZNF569,REST
463,ZNF569,MYC
464,ZNF569,CREB1
465,ZNF569,CEBPD
466,ZNF569,RFX5
467,ZNF569,FOSL2
468,ZNF569,MYBL2
469,BIRC5,JUND
470,BIRC5,MAZ
471,BIRC5,REST
472,BIRC5,MYC
473,BIRC5,CREB1
474,BIRC5,CEBPD
475,BIRC5,RFX5
476,BIRC5,FOSL2
477,BIRC5,MYBL2
478,BIRC5,ELF1
479,MTFP1,JUND
480,MTFP1,MAZ
481,MTFP1,MYC
482,MTFP1,CREB1
483,MTFP1,CEBPD
484,MTFP1,RFX5
485,MTFP1,FOSL2
486,MTFP1,MYBL2
487,SLC7A3,JUND
488,SLC7A3,MAZ
489,SLC7A3,REST
490,SLC7A3,MYC
491,SLC7A3,CREB1
492,SLC7A3,CEBPD
493,SLC7A3,RFX5
494,SLC7A3,FOSL2
495,SLC7A3,MYBL2
496,SLC7A3,ELF1
497,FAM114A1,JUND
498,FAM114A1,MAZ
499,FAM114A1,REST
500,FAM114A1,MYC
501,FAM114A1,CREB1
502,FAM114A1,CEBPD
503,FAM114A1,RFX5
504,FAM114A1,FOSL2
505,FAM114A1,MYBL2
506,FAM114A1,ELF1
507,EBNA1BP2,JUND
508,EBNA1BP2,MAZ
509,EBNA1BP2,REST
510,EBNA1BP2,MYC
511,EBNA1BP2,CREB1
512,EBNA1BP2,CEBPD
513,EBNA1BP2,RFX5
514,EBNA1BP2,FOSL2
515,EBNA1BP2,MYBL2
516,EBNA1BP2,ELF1
517,CKAP2,MAFF
518,CKAP2,JUND
519,CKAP2,MAZ
520,CKAP2,REST
521,CKAP2,MYC
522,CKAP2,CREB1
523,CKAP2,CEBPD
524,CKAP2,RFX5
525,CKAP2,FOSL2
526,CKAP2,MYBL2
527,CKAP2,ELF1
528,CTPS1,JUND
529,CTPS1,MAZ
530,CTPS1,REST
531,CTPS1,MYC
532,CTPS1,CREB1
533,CTPS1,CEBPD
534,CTPS1,RFX5
535,CTPS1,FOSL2
536,CTPS1,MYBL2
537,CTPS1,ELF1
538,PLAGL2,JUND
539,PLAGL2,MAZ
540,PLAGL2,MYC
541,PLAGL2,CREB1
542,PLAGL2,CEBPD
543,PLAGL2,RFX5
544,PLAGL2,FOSL2
545,ZNF484,JUND
546,ZNF484,CREB1
547,ZNF484,CEBPD
548,ZNF484,RFX5
549,ZNF484,FOSL2
550,JUND,GEMIN8
551,JUND,FLRT2
552,JUND,ACOX2
553,JUND,C12orf10
554,JUND,GYG1
555,JUND,DSN1
556,JUND,CREB3L4
557,JUND,EXOSC3
558,JUND,MEP1A
559,JUND,UQCC1
560,JUND,CCNB1
561,JUND,PSAT1
562,JUND,ANG
563,JUND,WDR54
564,JUND,ZNF217
565,JUND,ZNF850
566,JUND,PLA2G12B
567,JUND,ZNF560
568,JUND,ZNF227
569,JUND,PAFAH1B3
570,JUND,SALL4
571,JUND,PITX1
572,JUND,THAP5
573,JUND,CENPW
574,JUND,PLRG1
575,JUND,MAFF
576,JUND,FASTKD2
577,JUND,BCS1L
578,JUND,MTHFD1
579,JUND,RAB25
580,JUND,PMAIP1
581,JUND,RFC2
582,JUND,DNASE1
583,JUND,FEN1
584,JUND,TPM2
585,JUND,ISY1
586,JUND,ZNF569
587,JUND,BIRC5
588,JUND,MTFP1
589,JUND,SLC7A3
590,JUND,FAM114A1
591,JUND,EBNA1BP2
592,JUND,CKAP2
593,JUND,CTPS1
594,JUND,PLAGL2
595,JUND,ZNF484
596,JUND,JUND
597,JUND,DUT
598,JUND,YBX1
599,JUND,ZNF300
600,JUND,F3
601,JUND,ARL6IP6
602,JUND,KDM2B
603,JUND,TGIF2
604,JUND,ZNF695
605,JUND,ALG6
606,JUND,EEF1E1
607,JUND,LAMB2
608,JUND,APOC4.APOC2
609,JUND,CBR1
610,JUND,TEAD4
611,JUND,TERF1
612,JUND,ZNF66
613,JUND,SEC11C
614,JUND,APOC2
615,JUND,ACADVL
616,JUND,ARSE
617,JUND,CTSC
618,JUND,ZNF677
619,JUND,RSU1
620,JUND,CETN3
621,JUND,CXXC5
622,JUND,CEBPA
623,JUND,TET1
624,JUND,FBL
625,JUND,CACYBP
626,JUND,ALB
627,JUND,CRABP2
628,JUND,ANLN
629,JUND,DLGAP5
630,JUND,ZNF512
631,JUND,ZNF581
632,JUND,ZFAND2A
633,JUND,ADSL
634,JUND,TTF1
635,JUND,NNAT
636,JUND,ZNF770
637,JUND,HDX
638,JUND,NDUFAF4
639,JUND,TCFL5
640,JUND,FABP1
641,JUND,ECT2
642,JUND,AASS
643,JUND,APOC3
644,JUND,ASNS
645,JUND,SLC7A6
646,JUND,DRAP1
647,JUND,PEMT
648,JUND,CMC1
649,JUND,ZNF525
650,JUND,DPYSL2
651,JUND,CDK4
652,JUND,ZNF620
653,JUND,XPO5
654,JUND,TP53
655,JUND,NDUFAF5
656,JUND,CENPF
657,JUND,WDR74
658,JUND,CDK1
659,JUND,HNF4A
660,JUND,ZNF880
661,JUND,NODAL
662,JUND,STAT2
663,JUND,BBS9
664,JUND,DERA
665,JUND,FANCB
666,JUND,C12orf45
667,JUND,ANP32E
668,JUND,SPTLC3
669,JUND,CDKN3
670,JUND,NUP54
671,JUND,BUB1
672,JUND,NUP93
673,JUND,TDP2
674,JUND,AURKB
675,JUND,NUP85
676,JUND,DKC1
677,JUND,THRB
678,JUND,ZNF814
679,JUND,BSCL2
680,JUND,MLXIPL
681,JUND,LEAP2
682,JUND,NUP88
683,JUND,NPRL2
684,JUND,CCS
685,JUND,MCM6
686,JUND,G6PC3
687,JUND,RFX7
688,JUND,ZNF595
689,JUND,CAPG
690,JUND,ITGB5
691,JUND,UBL7
692,JUND,ANXA3
693,JUND,SHMT2
694,JUND,ITIH4
695,JUND,HMGA2
696,JUND,NR6A1
697,JUND,CAMK2D
698,JUND,ANAPC7
699,JUND,PPARA
700,JUND,COMMD3
701,JUND,HIBCH
702,JUND,ZNF788
703,JUND,CAPN12
704,JUND,ACAD11
705,JUND,BZW2
706,JUND,MGST2
707,JUND,WDR43
708,JUND,WFDC2
709,JUND,ZNF721
710,JUND,CREB3L3
711,JUND,ZNF281
712,JUND,TCF7L1
713,JUND,NR3C1
714,JUND,PRIM1
715,JUND,TF
716,JUND,MYCN
717,JUND,MELK
718,JUND,PRMT5
719,JUND,MCM3
720,JUND,MMS22L
721,JUND,DDB2
722,JUND,CXXC1
723,JUND,LITAF
724,JUND,MUSTN1
725,JUND,UCP2
726,JUND,DNAH14
727,JUND,BPTF
728,JUND,LCP1
729,JUND,CENPE
730,JUND,ASGR1
731,JUND,PIGH
732,JUND,FLRT3
733,JUND,ZNF860
734,JUND,TIMM21
735,JUND,ZNF398
736,JUND,NUP37
737,JUND,SLC35D2
738,JUND,GNPNAT1
739,JUND,ICA1
740,JUND,UBE2C
741,JUND,MCM4
742,JUND,ID2
743,JUND,ZNF726
744,JUND,ARG2
745,JUND,OTX2
746,JUND,ZNF134
747,JUND,POP5
748,JUND,ZNF143
749,JUND,IRF9
750,JUND,ZNF589
751,JUND,ZNF22
752,JUND,VRK1
753,JUND,AGT
754,JUND,RAMP1
755,JUND,ZBTB3
756,JUND,GMEB1
757,JUND,TMEM69
758,JUND,DROSHA
759,JUND,ARID3B
760,JUND,JUN
761,JUND,GPN3
762,JUND,DPH6
763,JUND,ACAA1
764,JUND,MT1G
765,JUND,MAF
766,JUND,MXD1
767,JUND,KNTC1
768,JUND,FOXA1
769,JUND,KPNA2
770,JUND,GSN
771,JUND,ZNF644
772,JUND,SOX15
773,JUND,PHF20
774,JUND,MCM7
775,JUND,EXOSC9
776,JUND,CENPK
777,JUND,THYN1
778,JUND,ARID2
779,JUND,ATP1B3
780,JUND,FOSL1
781,JUND,COMMD10
782,JUND,ZWINT
783,JUND,CEP70
784,JUND,HPN
785,JUND,NR1I3
786,JUND,ZBED5
787,JUND,MPHOSPH9
788,JUND,VTN
789,JUND,CENPU
790,JUND,DPCD
791,JUND,PRPS2
792,JUND,HNRNPH2
793,JUND,TBPL1
794,JUND,MAZ
795,JUND,E2F7
796,JUND,NIP7
797,JUND,CKS1B
798,JUND,FANCL
799,JUND,ZNF681
800,JUND,CSRP2
801,JUND,FAM13A
802,JUND,MTTP
803,JUND,SCAPER
804,JUND,ALDH9A1
805,JUND,RRM2
806,JUND,AXL
807,JUND,RFC4
808,JUND,GSTK1
809,JUND,NFYB
810,JUND,DPH5
811,JUND,ZNF101
812,JUND,HELLS
813,JUND,GALK1
814,JUND,RUVBL1
815,JUND,TGIF1
816,JUND,DR1
817,JUND,ZNF766
818,JUND,RAD51AP1
819,JUND,IQCB1
820,JUND,LCMT1
821,JUND,ZNF33A
822,JUND,NOP16
823,JUND,POU2F1
824,JUND,RRM1
825,JUND,LAMC1
826,JUND,ACOT7
827,JUND,LIN28B
828,JUND,ASPH
829,JUND,ICE2
830,JUND,ZNF660
831,JUND,TBRG4
832,JUND,S100A16
833,JUND,APEH
834,JUND,UBE2T
835,JUND,ZNF567
836,JUND,DOT1L
837,JUND,UTP18
838,JUND,PCGF6
839,JUND,BLVRA
840,JUND,ZNF397
841,JUND,ING3
842,JUND,SLC7A7
843,JUND,ATF3
844,JUND,QPCT
845,JUND,TMEM177
846,JUND,TUBB6
847,JUND,AIMP2
848,JUND,CDK5RAP1
849,JUND,REST
850,JUND,MYC
851,JUND,PPP1R7
852,JUND,TDGF1
853,JUND,CREB1
854,JUND,SMAD3
855,JUND,SMAD5
856,JUND,FAM64A
857,JUND,DDIT3
858,JUND,PA2G4
859,JUND,PHF5A
860,JUND,KLHL7
861,JUND,ZNF562
862,JUND,YAF2
863,JUND,SP100
864,JUND,ZFYVE21
865,JUND,ZNF202
866,JUND,ZNF93
867,JUND,ZNF480
868,JUND,ZNF561
869,JUND,CDC20
870,JUND,KIAA0101
871,JUND,IMP4
872,JUND,GRHL1
873,JUND,BUB1B
874,JUND,NUP35
875,JUND,PLK1
876,JUND,SAAL1
877,JUND,ADNP2
878,JUND,WDR12
879,JUND,PRKCE
880,JUND,DCLRE1C
881,JUND,ANPEP
882,JUND,HMGB2
883,JUND,TFDP1
884,JUND,ZNF85
885,JUND,LMO7
886,JUND,FOXM1
887,JUND,ZNF667
888,JUND,HMGN3
889,JUND,AKR1B1
890,JUND,IL6ST
891,JUND,MTF2
892,JUND,SMC4
893,JUND,LRR1
894,JUND,E2F4
895,JUND,ZNF280B
896,JUND,TIMM9
897,JUND,ZNF691
898,JUND,FANCD2
899,JUND,EFTUD2
900,JUND,HERPUD1
901,JUND,EFNA1
902,JUND,APOB
903,JUND,KDELR3
904,JUND,ZNF574
905,JUND,CNOT10
906,JUND,ZNF675
907,JUND,NCAPG
908,JUND,F2RL1
909,JUND,TOP2A
910,JUND,AEBP2
911,JUND,HMGA1
912,JUND,TATDN3
913,JUND,C3orf14
914,JUND,TOPORS
915,JUND,BLM
916,JUND,ZNF43
917,JUND,HMGCS2
918,JUND,SLC38A2
919,JUND,ADNP
920,JUND,C11orf1
921,JUND,MEIS3
922,JUND,GEMIN2
923,JUND,EPAS1
924,JUND,CIDEB
925,JUND,RAB28
926,JUND,USP7
927,JUND,ZSCAN21
928,JUND,NT5DC2
929,JUND,DNMT3B
930,JUND,PAK1IP1
931,JUND,EPHX2
932,JUND,HAT1
933,JUND,MTUS1
934,JUND,C1GALT1
935,JUND,C11orf74
936,JUND,RNF138
937,JUND,C19orf48
938,JUND,MED21
939,JUND,ZNF121
940,JUND,ASNSD1
941,JUND,CCDC82
942,JUND,ZNF551
943,JUND,PIN1
944,JUND,PDZK1
945,JUND,ZFP82
946,JUND,TFRC
947,JUND,DGAT1
948,JUND,NUSAP1
949,JUND,KNSTRN
950,JUND,PHGDH
951,JUND,SKA3
952,JUND,LAPTM4B
953,JUND,PSMG1
954,JUND,CRAT
955,JUND,RGN
956,JUND,CEBPD
957,JUND,AHSG
958,JUND,DDC
959,JUND,ZNF519
960,JUND,UMPS
961,JUND,DPEP1
962,JUND,DDAH1
963,JUND,PRC1
964,JUND,ODF2L
965,JUND,AMBP
966,JUND,SF3B3
967,JUND,LGALS2
968,JUND,TRIM59
969,JUND,FANCI
970,JUND,ZUFSP
971,JUND,CENPA
972,JUND,ZNF215
973,JUND,CUEDC2
974,JUND,ZNF253
975,JUND,PLIN2
976,JUND,E2F8
977,JUND,SKIL
978,JUND,GMPR2
979,JUND,ITLN2
980,JUND,ECHDC2
981,JUND,DNMT1
982,JUND,ORC4
983,JUND,ZNF714
984,JUND,ZNF587B
985,JUND,PCNA
986,JUND,TMEM37
987,JUND,THAP1
988,JUND,GALM
989,JUND,ZFP64
990,JUND,ZNF670
991,JUND,TK1
992,JUND,DCAF13
993,JUND,IRF1
994,JUND,ZNF146
995,JUND,ZNF354A
996,JUND,HMGCL
997,JUND,HNF1B
998,JUND,PUS7L
999,JUND,BRIX1
1000,JUND,ETS1
1001,JUND,ACADSB
1002,JUND,MAP1B
1003,JUND,HPRT1
1004,JUND,ZNF195
1005,JUND,NR2F2
1006,JUND,SRF
1007,JUND,GGCT
1008,JUND,RBPJ
1009,JUND,RREB1
1010,JUND,ASUN
1011,JUND,NOL10
1012,JUND,ZWILCH
1013,JUND,GTF2I
1014,JUND,MEST
1015,JUND,ZBTB44
1016,JUND,SERPIND1
1017,JUND,MAD2L1
1018,JUND,WARS
1019,JUND,SLC25A20
1020,JUND,MTERF3
1021,JUND,MSH2
1022,JUND,WDHD1
1023,JUND,COQ3
1024,JUND,NVL
1025,JUND,VPS72
1026,JUND,RNASEH2A
1027,JUND,TIPIN
1028,JUND,HGD
1029,JUND,NIF3L1
1030,JUND,KIF23
1031,JUND,MRPL1
1032,JUND,NUDT1
1033,JUND,FUCA1
1034,JUND,ANAPC4
1035,JUND,MIS18BP1
1036,JUND,TMEM120A
1037,JUND,DPF3
1038,JUND,APOA2
1039,JUND,RAB34
1040,JUND,ZFP62
1041,JUND,E2F5
1042,JUND,KIF22
1043,JUND,SIL1
1044,JUND,RFXANK
1045,JUND,UGP2
1046,JUND,E2F3
1047,JUND,DTWD1
1048,JUND,SP4
1049,JUND,ZNF239
1050,JUND,RAD51C
1051,JUND,HMMR
1052,JUND,ZIK1
1053,JUND,DDX39A
1054,JUND,ETV5
1055,JUND,RFX5
1056,JUND,FOXP1
1057,JUND,CCNB2
1058,JUND,ATIC
1059,JUND,MRPS27
1060,JUND,PRMT3
1061,JUND,ACTL6A
1062,JUND,TPX2
1063,JUND,ATG5
1064,JUND,THAP4
1065,JUND,OCIAD2
1066,JUND,PPT1
1067,JUND,SLC38A1
1068,JUND,F10
1069,JUND,NUDT15
1070,JUND,GPC3
1071,JUND,ZNF718
1072,JUND,WDYHV1
1073,JUND,FOSB
1074,JUND,RHOBTB3
1075,JUND,FOSL2
1076,JUND,HAUS1
1077,JUND,CHEK2
1078,JUND,C17orf75
1079,JUND,MST1
1080,JUND,MYBL2
1081,JUND,ZNF573
1082,JUND,G2E3
1083,JUND,NEDD1
1084,JUND,HP
1085,JUND,PON2
1086,JUND,HINFP
1087,JUND,POLB
1088,JUND,PRAP1
1089,JUND,NEK2
1090,JUND,DEPDC7
1091,JUND,HPX
1092,JUND,P4HA2
1093,JUND,AMZ2
1094,JUND,TSFM
1095,JUND,GNRH2
1096,JUND,APOA1
1097,JUND,ANXA4
1098,JUND,STMN1
1099,JUND,GMNN
1100,JUND,CYP3A5
1101,JUND,ZNF107
1102,JUND,FMO5
1103,JUND,GMPS
1104,JUND,ZNF260
1105,JUND,ATG4C
1106,JUND,APOA4
1107,JUND,F2
1108,JUND,ZNF678
1109,JUND,CKS2
1110,JUND,DPAGT1
1111,JUND,ZNF286A
1112,JUND,IRF3
1113,JUND,SGK1
1114,JUND,PYGL
1115,JUND,TCF3
1116,JUND,TEX10
1117,JUND,SHISA2
1118,JUND,POLR1C
1119,JUND,ZNF92
1120,JUND,YBX3
1121,JUND,CENPN
1122,JUND,ATMIN
1123,JUND,SULT1A2
1124,JUND,KLF6
1125,JUND,MLF1
1126,JUND,MYSM1
1127,JUND,ZNF286B
1128,JUND,KAT7
