Gene1,Gene2,Type
DDIT3,ASNS,1
DDIT3,ATF5,1
DDIT3,ATG5,1
DDIT3,CEBPA,1
DDIT3,TF,1
DNMT1,BIRC5,1
DNMT1,CXCR4,1
DNMT1,IL32,1
DNMT1,MSH2,1
DNMT1,SFRP1,1
DNMT1,TP53,1
DR1,TBP,1
DRAP1,TBP,1
E2F2,CUX1,1
E2F3,AURKA,1
E2F3,CCNB1,1
E2F3,CDC6,1
E2F3,CDK1,1
E2F3,CUX1,1
E2F3,PLK1,1
E2F3,TFE3,1
E2F4,AURKB,1
E2F4,BIRC5,1
E2F4,BRCA1,1
E2F4,CCNB1,1
E2F4,CUX1,1
E2F4,MYC,1
E2F4,PLK1,1
E2F4,TTK,1
E2F5,MYC,1
EGR1,AKR1B1,1
EGR1,ATF3,1
EGR1,F3,1
EGR1,FN1,1
EGR1,NFKB1,1
EGR1,PTP4A1,1
EGR1,STMN1,1
EGR1,TCF4,1
EGR1,TP53,1
ELF1,BRCA2,1
ELK4,FOS,1
EPAS1,PTPRZ1,1
ETS1,ANPEP,1
ETS1,CXCR4,1
ETS1,EGR1,1
ETS1,GRPR,1
ETS1,TP53,1
ETV4,ETS1,1
ETV6,MAD2L1,1
FOS,BATF3,1
FOS,DDIT3,1
FOS,FOXA1,1
FOS,MYC,1
FOS,NFKB1,1
FOS,NQO1,1
FOS,TP53,1
FOSB,TIMP1,1
FOSL2,BCL6,1
FOSL2,BRCA1,1
FOSL2,FOSL1,1
FOSL2,TIMP1,1
FOXA1,APOB,1
FOXA1,BRCA1,1
FOXA1,MYC,1
FOXA1,TFF1,1
FOXA2,APOA1,1
FOXA2,NR5A2,1
FOXA2,PAX6,1
FOXA2,TFF1,1
FOXH1,CTCF,1
FOXM1,CCNB1,1
FOXM1,CDC6,1
FOXM1,FGB,1
FOXM1,MYC,1
FOXO1,CXCR4,1
FOXO1,EGR1,1
GATA4,NPPB,1
GATA6,APOA1,1
GLI1,JUN,1
GLI1,PDGFRA,1
GLI1,SFRP1,1
GLI1,SOX9,1
GLI2,FOXA2,1
GLI2,JUN,1
GLI2,PDGFRA,1
GTF3A,ADM,1
GTF3A,RAD51B,1
HDAC3,APOC3,1
HDAC3,CXCR4,1
HDAC3,GRHL1,1
HDAC3,GTF2I,1
HDAC3,JUN,1
HDAC3,MYC,1
HHEX,HNF4A,1
HIF3A,EPAS1,1
HMG20B,BRCA2,1
HMGA1,BRCA1,1
HMGA1,SP1,1
HMGA1,TP53,1
HNF4A,ACAT2,1
HNF4A,AFP,1
HNF4A,APOA1,1
HNF4A,APOA2,1
HNF4A,APOB,1
HNF4A,APOC3,1
HNF4A,MTTP,1
HNF4A,MYC,1
HNF4A,PPARA,1
HNF4A,TBP,1
HSF2,FOS,1
ID3,TCF3,1
IRF1,CCNB1,1
IRF1,CDK1,1
IRF1,CDK4,1
IRF1,IRF2,1
IRF1,SOCS2,1
IRF1,TP53,1
IRF2,CXCR4,1
IRF2,IFNGR1,1
IRF3,CCL2,1
IRF3,IRF7,1
IRF3,SOCS2,1
IRF7,ATF4,1
IRF9,SP100,1
JUN,APOC3,1
JUN,ATF3,1
JUN,BATF3,1
JUN,BRCA1,1
JUN,CA2,1
JUN,CCL2,1
JUN,DDIT3,1
JUN,ETS1,1
JUN,F3,1
JUN,FOSL1,1
JUN,LDHA,1
JUN,LGALS3,1
JUN,MYC,1
JUN,NFKB2,1
JUN,NQO1,1
JUN,POLD2,1
JUN,PPARA,1
JUN,RARA,1
JUN,RARG,1
JUN,STMN1,1
JUN,TFF1,1
JUN,TP53,1
JUNB,NQO1,1
JUND,BCL6,1
JUND,F3,1
JUND,FOSL1,1
JUND,NQO1,1
JUND,SOX4,1
JUND,TIMP1,1
KDM2A,NANOG,1
KDM2A,SOX2,1
KLF5,BIRC5,1
KLF5,CCNB1,1
KLF5,CXCR4,1
KLF5,FOXO1,1
KLF6,ATF3,1
KLF6,CERS2,1
KLF6,LAMA1,1
KLF6,PMAIP1,1
KLF6,PTTG1,1
MEF2C,JUN,1
MITF,FOS,1
MXI1,MYC,1
MXI1,MYCN,1
MYBL2,MYC,1
MYBL2,SP1,1
MYC,ASS1,1
MYC,ATF3,1
MYC,CCNB1,1
MYC,CDK4,1
MYC,CEBPA,1
MYC,CFLAR,1
MYC,CHEK1,1
MYC,CHEK2,1
MYC,CXCR4,1
MYC,EBNA1BP2,1
MYC,FOXM1,1
MYC,GATA4,1
MYC,ID2,1
MYC,JUNB,1
MYC,LDHA,1
MYC,MST1,1
MYC,PCNA,1
MYC,PMAIP1,1
MYC,SFRP1,1
MYC,TFRC,1
MYC,TP53,1
MYC,UBE2C,1
MYCN,BIRC5,1
MYCN,GRHL1,1
MYCN,HMGA1,1
MYCN,ID2,1
MYCN,MCM3,1
MYCN,MCM4,1
MYCN,MCM5,1
MYCN,MCM6,1
MYCN,MCM7,1
MYCN,MXI1,1
MYCN,MYBL2,1
MYCN,TP53,1
NANOG,AFP,1
NANOG,CDX2,1
NANOG,GATA4,1
NANOG,GATA6,1
NANOG,L1TD1,1
NANOG,LAMB1,1
NANOG,MTF2,1
NANOG,NODAL,1
NANOG,POU5F1,1
NFIB,WFDC2,1
NFKB1,AGT,1
NFKB1,ATF3,1
NFKB1,BIRC5,1
NFKB1,BRCA2,1
NFKB1,CCL2,1
NFKB1,CCNB1,1
NFKB1,CDK4,1
NFKB1,CFLAR,1
NFKB1,CREB3,1
NFKB1,CTCF,1
NFKB1,CXCR4,1
NFKB1,EGR1,1
NFKB1,ELF3,1
NFKB1,F3,1
NFKB1,FN1,1
NFKB1,HES1,1
NFKB1,IRF1,1
NFKB1,IRF7,1
NFKB1,JUNB,1
NFKB1,KDM2A,1
NFKB1,MYC,1
NFKB1,NPPB,1
NFKB1,S100A6,1
NFKB1,SERPINB1,1
NFKB1,STAT4,1
NFKB1,TBP,1
NFKB1,TF,1
NFKB1,TFF1,1
NFKB1,TIMP1,1
NFKB1,TP53,1
NFKB1,YY1,1
NFYB,FOS,1
NR1H3,BHLHE40,1
NR2F2,POU5F1,1
NR2F2,PPARA,1
NR2F6,APOA2,1
NR2F6,APOB,1
NR2F6,APOC3,1
NR3C1,ATP1B1,1
NR3C1,BRCA1,1
NR3C1,CDK4,1
NR3C1,ETS1,1
NR3C1,NFKB1,1
NR3C1,SPP1,1
NR3C1,SRF,1
NR3C1,TP53,1
OTX2,AURKA,1
OTX2,HESX1,1
OTX2,PAX6,1
PBX1,NANOG,1
PIR,NFKB1,1
PITX1,HES1,1
PITX1,IRF2,1
PITX1,IRF7,1
PITX1,JUN,1
POU2F1,CDX2,1
POU2F1,LGALS4,1
POU2F1,MAD2L1,1
POU2F1,SPP1,1
POU2F1,TK1,1
POU5F1,CDX2,1
POU5F1,DDC,1
POU5F1,EOMES,1
POU5F1,GATA6,1
POU5F1,ID2,1
POU5F1,L1TD1,1
POU5F1,LEFTY1,1
POU5F1,NANOG,1
POU5F1,SOX2,1
POU5F1,SPP1,1
POU5F1,TDGF1,1
POU5F1,THY1,1
POU5F1,ZFP42,1
PPARA,APOA4,1
PPARA,APOB,1
PPARA,APOC3,1
PPARA,PLIN2,1
PPARA,SLC25A20,1
PPARA,SREBF2,1
PRDM1,MYC,1
PRDM1,PCNA,1
PRDM14,POU5F1,1
PREB,CCL2,1
PTTG1,CCNB1,1
PTTG1,CDK1,1
PTTG1,ID3,1
PTTG1,LGALS1,1
PTTG1,MYC,1
RARA,ETS1,1
RARA,GNRH2,1
RARA,HNF4A,1
RARA,HSD17B2,1
RARA,NR1I3,1
RBPJ,NFKB1,1
RELA,AGT,1
RELA,BIRC5,1
RELA,BRCA2,1
RELA,CCL2,1
RELA,CCNB1,1
RELA,CDK4,1
RELA,CFLAR,1
RELA,CREB3,1
RELA,CXCR4,1
RELA,EGR1,1
RELA,ELF3,1
RELA,EPAS1,1
RELA,F3,1
RELA,FN1,1
RELA,GNRH2,1
RELA,HES1,1
RELA,IRF1,1
RELA,IRF7,1
RELA,JUNB,1
RELA,KDM2A,1
RELA,MYC,1
RELA,NFKB1,1
RELA,NPPB,1
RELA,PPARA,1
RELA,S100A6,1
RELA,SERPINB1,1
RELA,STAT4,1
RELA,TBP,1
RELA,TF,1
RELA,TFF1,1
RELA,TIMP1,1
RELA,TP53,1
RELA,YY1,1
REST,LIN28A,1
RUVBL1,TP53,1
RXRA,GNRH2,1
RXRA,HNF4A,1
RXRA,HSD17B2,1
SALL4,POU5F1,1
SMAD3,AHR,1
SMAD3,APOC3,1
SMAD3,FOXA2,1
SMAD3,GLI2,1
SMAD3,JUN,1
SMAD3,MXD1,1
SMAD3,MYC,1
SOX2,L1TD1,1
SOX2,PAX6,1
SOX4,KMT2A,1
SOX6,CDK4,1
SOX6,TP53,1
SOX9,CDK4,1
SOX9,HES1,1
SOX9,MITF,1
SP1,AGT,1
SP1,AHR,1
SP1,APOA1,1
SP1,APOC3,1
SP1,ATP2C1,1
SP1,BIRC5,1
SP1,BRCA1,1
SP1,CCL2,1
SP1,CDK4,1
SP1,CENPH,1
SP1,CENPW,1
SP1,CERS2,1
SP1,CREB1,1
SP1,CYP3A5,1
SP1,DDB2,1
SP1,DNMT1,1
SP1,DNMT3B,1
SP1,DPYSL2,1
SP1,EGR1,1
SP1,F10,1
SP1,F3,1
SP1,FGFR1,1
SP1,FOS,1
SP1,FOXM1,1
SP1,HMGA1,1
SP1,HMGA2,1
SP1,HNF4A,1
SP1,HPR,1
SP1,HSD17B11,1
SP1,HSD17B2,1
SP1,IFNGR1,1
SP1,ISG20,1
SP1,KRT19,1
SP1,LAMA1,1
SP1,LDHA,1
SP1,MAT2B,1
SP1,MYBL2,1
SP1,MYC,1
SP1,MYCN,1
SP1,NFKB1,1
SP1,NFKB2,1
SP1,P2RX4,1
SP1,PAX6,1
SP1,PHGDH,1
SP1,PLAA,1
SP1,POLD2,1
SP1,PRKCE,1
SP1,PSEN1,1
SP1,PSIP1,1
SP1,PTTG1,1
SP1,RARA,1
SP1,RELA,1
SP1,RGN,1
SP1,SLC25A20,1
SP1,SOX9,1
SP1,SPP1,1
SP1,TF,1
SP1,TIMP1,1
SP1,TINF2,1
SP1,TK1,1
SP1,TNNI3,1
SP1,USP7,1
SP1,UTRN,1
SP1,YY1,1
SP100,ETS1,1
SP4,ASS1,1
SP4,BIRC5,1
SP4,NFKB1,1
SP4,RELA,1
SP4,YY1,1
SREBF2,ACOT7,1
SREBF2,HMGCR,1
SREBF2,HNF4A,1
SREBF2,MTTP,1
SREBF2,PON2,1
SRF,CREB1,1
SRF,FOS,1
SRF,FOSL1,1
SRF,LMO7,1
SRF,TAGLN,1
STAT2,CCL2,1
STAT2,IRF1,1
STAT2,RCAN1,1
STAT4,IRF1,1
STAT4,MYC,1
STAT5B,BCL6,1
STAT6,FOS,1
STAT6,FOSB,1
TBP,CCNB1,1
TBP,FOS,1
TBP,LIN28B,1
TBP,MYC,1
TCF3,MYC,1
TCF3,POU5F1,1
TCF4,BIRC5,1
TCF4,JUN,1
TCF4,MITF,1
TCF4,MYC,1
TCF4,VCAN,1
TFAP2C,CRABP2,1
TFCP2,FGA,1
TFCP2,PAX6,1
TFCP2,SPP1,1
TFCP2,TF,1
TFDP1,CDK1,1
TFDP1,MYBL2,1
TFDP1,PCNA,1
TFDP1,RRM1,1
TFDP1,TP53,1
TP53,AFP,1
TP53,ATF3,1
TP53,BIRC5,1
TP53,BRCA1,1
TP53,BRCA2,1
TP53,CCNB1,1
TP53,CCNB2,1
TP53,CDK1,1
TP53,CDK4,1
TP53,CHEK1,1
TP53,CHEK2,1
TP53,DDB2,1
TP53,DNMT1,1
TP53,E2F3,1
TP53,E2F7,1
TP53,EGR1,1
TP53,FOXM1,1
TP53,GLI2,1
TP53,HNF4A,1
TP53,ID2,1
TP53,MCM7,1
TP53,MYC,1
TP53,NFKB1,1
TP53,NME1,1
TP53,PLAGL1,1
TP53,PLK1,1
TP53,PMAIP1,1
TP53,PRC1,1
TP53,PTTG1,1
TP53,RAD51B,1
TP53,RELA,1
TP53,SMAD3,1
TP53,VCAN,1
TRIM28,E2F3,1
TRIM28,E2F4,1
XBP1,CCL2,1
XBP1,DDIT3,1
XBP1,NPPB,1
YBX1,AGT,1
YBX1,ANAPC4,1
YBX1,CCNB1,1
YBX1,CDC20,1
YBX1,CDKN3,1
YBX1,CKS2,1
YBX1,CXCR4,1
YBX1,KPNA2,1
YBX1,MYCN,1
YBX1,TOP2A,1
YEATS4,TP53,1
YY1,ACTC1,1
YY1,ATP2C1,1
YY1,BRCA1,1
YY1,CTCF,1
YY1,CXCR4,1
YY1,CYP3A5,1
YY1,EPAS1,1
YY1,HDAC3,1
YY1,IRF7,1
YY1,MYC,1
YY1,NR3C1,1
YY1,PCNA,1
YY1,PEG3,1
YY1,TF,1
YY1,TFRC,1
YY1,TP53,1
ZBTB16,BID,1
ZBTB16,CEBPA,1
ZBTB16,CXCR4,1
ZBTB16,ID2,1
ZBTB16,SOX9,1
ZBTB2,TP53,1
ZFHX3,AFP,1
ZIC2,TCF4,1
ZNF143,BUB1B,1
ZNF143,ESCO2,1
ZNF300,MYC,1
AEBP1,TCF3,1
AEBP2,EED,1
AHR,AAAS,1
AHR,ADAM9,1
AHR,APEH,1
AHR,ARID3A,1
AHR,ARNTL,1
AHR,ATF3,1
AHR,ATF5,1
AHR,BCL11A,1
AHR,BCL11B,1
AHR,BHLHE40,1
AHR,BNC2,1
AHR,C1GALT1,1
AHR,CAMK2D,1
AHR,CDCA7L,1
AHR,CKS1B,1
AHR,CLOCK,1
AHR,COA5,1
AHR,CREB1,1
AHR,DDAH1,1
AHR,DHRS3,1
AHR,EGR1,1
AHR,EIF2B3,1
AHR,ESCO2,1
AHR,ETV4,1
AHR,FGFR1,1
AHR,FIBP,1
AHR,FOXA2,1
AHR,FOXN3,1
AHR,FOXO1,1
AHR,FOXP1,1
AHR,FUT8,1
AHR,G6PC3,1
AHR,GPC3,1
AHR,GSN,1
AHR,HERPUD1,1
AHR,HES1,1
AHR,HMGA1,1
AHR,IQGAP2,1
AHR,IRF1,1
AHR,ISG15,1
AHR,L3MBTL3,1
AHR,LAMC1,1
AHR,LCORL,1
AHR,MOV10,1
AHR,MTF2,1
AHR,MXI1,1
AHR,MYO1E,1
AHR,NCOA1,1
AHR,NFKB1,1
AHR,NME2,1
AHR,NR2F2,1
AHR,NR3C1,1
AHR,NR6A1,1
AHR,OTX2,1
AHR,PABPC4,1
AHR,PIM2,1
AHR,PPARA,1
AHR,PRMT5,1
AHR,PSEN1,1
AHR,RARA,1
AHR,RARG,1
AHR,RELA,1
AHR,RXRB,1
AHR,SALL1,1
AHR,SLC7A3,1
AHR,SMAD5,1
AHR,SMC6,1
AHR,SNX8,1
AHR,SOX12,1
AHR,SOX2,1
AHR,SP1,1
AHR,SP4,1
AHR,TBP,1
AHR,THAP1,1
AHR,TMCC1,1
AHR,TMEM126B,1
AHR,TNNI3,1
AHR,TPGS2,1
AHR,UCK2,1
AHR,USP1,1
AHR,VPS8,1
AHR,YARS,1
AHR,ZBED5,1
AHR,ZBTB20,1
AHR,ZBTB25,1
AHR,ZFHX3,1
AHR,ZIC2,1
AHR,ZNF496,1
AHR,ZNF516,1
AHR,ZNF532,1
AHR,ZNF608,1
ARHGAP35,PTPRZ1,1
ARHGAP35,THY1,1
ARID3A,E2F2,1
ARID3A,E2F4,1
ARID3A,SP100,1
ARID3A,TP53,1
ARID3A,UBE2E3,1
ARID5B,AKR1B1,1
ARID5B,APPL2,1
ARID5B,ARHGAP26,1
ARID5B,ATF4,1
ARID5B,BUB1B,1
ARID5B,CCDC138,1
ARID5B,CKS1B,1
ARID5B,CREB3L3,1
ARID5B,DCUN1D5,1
ARID5B,ESCO2,1
ARID5B,HARS,1
ARID5B,HHEX,1
ARID5B,ING3,1
ARID5B,NNAT,1
ARID5B,PITX2,1
ARID5B,PRKCE,1
ARID5B,RAD51B,1
ARID5B,SORBS2,1
ARID5B,WDR13,1
ARID5B,ZFHX3,1
ARNTL2,CLOCK,1
ARNTL2,EPAS1,1
ARNTL,AHR,1
ARNTL,CLOCK,1
ARNTL,EPAS1,1
ATF1,ABRACL,1
ATF1,AGT,1
ATF1,B4GALT3,1
ATF1,BRCA1,1
ATF1,CDK1,1
ATF1,CENPE,1
ATF1,CGGBP1,1
ATF1,CRABP2,1
ATF1,CREB1,1
ATF1,DNTTIP1,1
ATF1,DPAGT1,1
ATF1,EGR1,1
ATF1,FN1,1
ATF1,FOS,1
ATF1,FOSB,1
ATF1,GABPB1,1
ATF1,GATA4,1
ATF1,GPBP1,1
ATF1,GPM6B,1
ATF1,HHEX,1
ATF1,HIVEP2,1
ATF1,HNF1B,1
ATF1,ICA1,1
ATF1,ID2,1
ATF1,IDI1,1
ATF1,IFT57,1
ATF1,JUN,1
ATF1,JUNB,1
ATF1,JUND,1
ATF1,KAT7,1
ATF1,LGALS4,1
ATF1,LHX1,1
ATF1,MAFF,1
ATF1,MED21,1
ATF1,MGA,1
ATF1,MPZL3,1
ATF1,MXD1,1
ATF1,MYBL2,1
ATF1,MYNN,1
ATF1,NDEL1,1
ATF1,NEDD1,1
ATF1,NFIL3,1
ATF1,NFKB1,1
ATF1,NR3C1,1
ATF1,OMA1,1
ATF1,PAX6,1
ATF1,PEG3,1
ATF1,POLB,1
ATF1,POLE4,1
ATF1,PRKCE,1
ATF1,PTPN2,1
ATF1,RAD51C,1
ATF1,RIOK1,1
ATF1,SAFB2,1
ATF1,SKIL,1
ATF1,SLC39A5,1
ATF1,SLC7A3,1
ATF1,SMAD1,1
ATF1,TAF2,1
ATF1,TFRC,1
ATF1,TGIF2,1
ATF1,TTLL5,1
ATF1,UCK2,1
ATF1,YY1,1
ATF1,ZFHX3,1
ATF1,ZFX,1
ATF1,ZIM2,1
ATF1,ZNF184,1
ATF1,ZWILCH,1
ATF3,ABRACL,1
ATF3,B4GALT3,1
ATF3,BATF3,1
ATF3,CENPE,1
ATF3,CGGBP1,1
ATF3,CRABP2,1
ATF3,DNTTIP1,1
ATF3,FN1,1
ATF3,FOSB,1
ATF3,GATA4,1
ATF3,GPBP1,1
ATF3,GPM6B,1
ATF3,HHEX,1
ATF3,HIVEP2,1
ATF3,ICA1,1
ATF3,IDI1,1
ATF3,IFT57,1
ATF3,JUN,1
ATF3,JUNB,1
ATF3,JUND,1
ATF3,KAT7,1
ATF3,LDHA,1
ATF3,LGALS4,1
ATF3,LHX1,1
ATF3,MAFF,1
ATF3,MGA,1
ATF3,MPZL3,1
ATF3,MXD1,1
ATF3,MYBL2,1
ATF3,MYNN,1
ATF3,NDEL1,1
ATF3,NEDD1,1
ATF3,NFIL3,1
ATF3,NFKB1,1
ATF3,NR3C1,1
ATF3,NUF2,1
ATF3,OMA1,1
ATF3,PAX6,1
ATF3,PEG3,1
ATF3,POLE4,1
ATF3,PRKCE,1
ATF3,PTPN2,1
ATF3,RAD51C,1
ATF3,RIOK1,1
ATF3,SAFB2,1
ATF3,SKIL,1
ATF3,SLC39A5,1
ATF3,SLC7A3,1
ATF3,SMAD1,1
ATF3,SMAD3,1
ATF3,TAF2,1
ATF3,TGIF2,1
ATF3,TTLL5,1
ATF3,UCK2,1
ATF3,YY1,1
ATF3,ZFHX3,1
ATF3,ZFX,1
ATF3,ZIM2,1
ATF3,ZNF184,1
ATF3,ZWILCH,1
ATF4,ABRACL,1
ATF4,B4GALT3,1
ATF4,CAMK2D,1
ATF4,CEBPG,1
ATF4,CENPE,1
ATF4,CGGBP1,1
ATF4,CRABP2,1
ATF4,DNTTIP1,1
ATF4,FN1,1
ATF4,FOSB,1
ATF4,GATA4,1
ATF4,GPBP1,1
ATF4,GPM6B,1
ATF4,HHEX,1
ATF4,HIVEP2,1
ATF4,ICA1,1
ATF4,IDI1,1
ATF4,IFT57,1
ATF4,JUN,1
ATF4,JUNB,1
ATF4,JUND,1
ATF4,KAT7,1
ATF4,LDHA,1
ATF4,LGALS4,1
ATF4,LHX1,1
ATF4,MAFF,1
ATF4,MGA,1
ATF4,MPZL3,1
ATF4,MXD1,1
ATF4,MYBL2,1
ATF4,MYNN,1
ATF4,NDEL1,1
ATF4,NEDD1,1
ATF4,NFIL3,1
ATF4,NFKB1,1
ATF4,NR3C1,1
ATF4,OMA1,1
ATF4,PAX6,1
ATF4,PEG3,1
ATF4,POLE4,1
ATF4,PRKCE,1
ATF4,PTPN2,1
ATF4,RAD51C,1
ATF4,RIOK1,1
ATF4,SAFB2,1
ATF4,SKIL,1
ATF4,SLC39A5,1
ATF4,SLC7A3,1
ATF4,SMAD1,1
ATF4,TAF2,1
ATF4,TGIF2,1
ATF4,TTLL5,1
ATF4,TTR,1
ATF4,UCK2,1
ATF4,YY1,1
ATF4,ZFHX3,1
ATF4,ZFX,1
ATF4,ZIM2,1
ATF4,ZNF184,1
ATF4,ZWILCH,1
ATF5,ABRACL,1
ATF5,B4GALT3,1
ATF5,CEBPG,1
ATF5,CENPE,1
ATF5,CGGBP1,1
ATF5,CRABP2,1
ATF5,DNTTIP1,1
ATF5,FN1,1
ATF5,FOSB,1
ATF5,GATA4,1
ATF5,GPBP1,1
ATF5,GPM6B,1
ATF5,HHEX,1
ATF5,HIVEP2,1
ATF5,ICA1,1
ATF5,IDI1,1
ATF5,IFT57,1
ATF5,JUNB,1
ATF5,JUND,1
ATF5,KAT7,1
ATF5,LDHA,1
ATF5,LGALS4,1
ATF5,LHX1,1
ATF5,MAFF,1
ATF5,MGA,1
ATF5,MPZL3,1
ATF5,MXD1,1
ATF5,MYBL2,1
ATF5,MYNN,1
ATF5,NDEL1,1
ATF5,NEDD1,1
ATF5,NFIL3,1
ATF5,NFKB1,1
ATF5,NR3C1,1
ATF5,OMA1,1
ATF5,PAX6,1
ATF5,PEG3,1
ATF5,POLE4,1
ATF5,PRKCE,1
ATF5,PTPN2,1
ATF5,RAD51C,1
ATF5,RIOK1,1
ATF5,SAFB2,1
ATF5,SKIL,1
ATF5,SLC39A5,1
ATF5,SLC7A3,1
ATF5,SMAD1,1
ATF5,TAF2,1
ATF5,TGIF2,1
ATF5,TTLL5,1
ATF5,UCK2,1
ATF5,YY1,1
ATF5,ZFHX3,1
ATF5,ZFX,1
ATF5,ZIM2,1
ATF5,ZNF184,1
ATF5,ZWILCH,1
BATF3,ATF3,1
BCL11A,NR2F2,1
BCL11B,NR2F2,1
BCL6,JUN,1
BCL6,JUNB,1
BCL6,JUND,1
BCL6,PRDM1,1
BCL6,SP1,1
BCL6,ZBTB16,1
BHLHE40,ARNTL,1
BHLHE40,BPTF,1
BHLHE40,CAMK2D,1
BHLHE40,CDK4,1
BHLHE40,CDK5,1
BHLHE40,EMC2,1
BHLHE40,HSF2,1
BHLHE40,LTV1,1
BHLHE40,NR6A1,1
BHLHE40,PAK1IP1,1
BHLHE40,RARA,1
BHLHE40,STMN1,1
BHLHE40,ZHX1,1
BHLHE40,ZNF669,1
BPTF,ACADVL,1
BPTF,BCL6,1
BPTF,CCDC82,1
BPTF,CDCA3,1
BPTF,COA5,1
BPTF,CRBN,1
BPTF,CREB3L3,1
BPTF,CUEDC2,1
BPTF,DLG1,1
BPTF,DMTF1,1
BPTF,ETV1,1
BPTF,FGFR1,1
BPTF,HES1,1
BPTF,MAZ,1
BPTF,MEF2C,1
BPTF,MXI1,1
BPTF,NNAT,1
BPTF,NR2F2,1
BPTF,PIM2,1
BPTF,RRM1,1
BPTF,SORBS2,1
BPTF,SP4,1
BPTF,SYTL2,1
BPTF,TGDS,1
BPTF,TGIF1,1
BPTF,ZBTB39,1
BPTF,ZNF34,1
BRCA1,AKR1B1,1
BRCA1,ATF1,1
BRCA1,AURKA,1
BRCA1,CDK1,1
BRCA1,CDK4,1
BRCA1,CHEK2,1
BRCA1,DCLRE1C,1
BRCA1,E2F4,1
BRCA1,ELK4,1
BRCA1,ETS1,1
BRCA1,FANCA,1
BRCA1,FANCD2,1
BRCA1,JUN,1
BRCA1,JUNB,1
BRCA1,JUND,1
BRCA1,KPNA2,1
BRCA1,MED21,1
BRCA1,MLH1,1
BRCA1,NBN,1
BRCA1,NFKB1,1
BRCA1,PCNA,1
BRCA1,POU2F1,1
BRCA1,RELA,1
BRCA1,SMAD3,1
BRCA1,SP1,1
BRCA1,TOP2A,1
BRCA1,TP53,1
BRCA1,YY1,1
BRCA2,BRCA1,1
BRCA2,BUB1B,1
BRCA2,CDK1,1
BRCA2,FANCD2,1
BRCA2,HMG20B,1
BRCA2,PLK1,1
BRCA2,SMAD3,1
BRCA2,TP53,1
BRD8,RXRA,1
BRD8,THRB,1
CDC5L,ARL15,1
CDC5L,ARL6IP6,1
CDC5L,ATIC,1
CDC5L,BCL11B,1
CDC5L,BCL6,1
CDC5L,CCDC138,1
CDC5L,CD9,1
CDC5L,DDAH1,1
CDC5L,EIF2B3,1
CDC5L,ETV1,1
CDC5L,FOXA1,1
CDC5L,INMT,1
CDC5L,MCM3,1
CDC5L,MCM4,1
CDC5L,MCM5,1
CDC5L,MEF2C,1
CDC5L,MELK,1
CDC5L,NAA50,1
CDC5L,NBN,1
CDC5L,NUP93,1
CDC5L,ORC5,1
CDC5L,PAX6,1
CDC5L,SLC35D2,1
CDC5L,SLC39A10,1
CDC5L,SOX6,1
CDC5L,SVIL,1
CDC5L,TCF4,1
CDC5L,TMEM69,1
CDC5L,TTLL5,1
CDC5L,USP28,1
CDC5L,VPS8,1
CDC5L,ZFHX3,1
CDX2,PAX6,1
CEBPA,AAMP,1
CEBPA,ACADVL,1
CEBPA,ACSL5,1
CEBPA,ADM,1
CEBPA,AEBP1,1
