,Gene1,Gene2,Type,_merge
83,MEP1A,RFX5,,left_only
84,MEP1A,FOSL2,,left_only
85,MEP1A,MYBL2,,left_only
86,MEP1A,ELF1,,left_only
87,UQCC1,JUND,,left_only
88,UQCC1,CREB1,,left_only
89,UQCC1,CEBPD,,left_only
90,UQCC1,FOSL2,,left_only
91,CCNB1,MAFF,,left_only
92,CCNB1,JUND,,left_only
93,CCNB1,MAZ,,left_only
94,CCNB1,REST,,left_only
95,CCNB1,MYC,,left_only
96,CCNB1,CREB1,,left_only
97,CCNB1,CEBPD,,left_only
98,CCNB1,RFX5,,left_only
99,CCNB1,FOSL2,,left_only
100,CCNB1,MYBL2,,left_only
101,CCNB1,ELF1,,left_only
102,PSAT1,JUND,,left_only
103,PSAT1,MAZ,,left_only
104,PSAT1,REST,,left_only
105,PSAT1,MYC,,left_only
106,PSAT1,CREB1,,left_only
107,PSAT1,CEBPD,,left_only
108,PSAT1,RFX5,,left_only
109,PSAT1,FOSL2,,left_only
110,PSAT1,MYBL2,,left_only
111,PSAT1,ELF1,,left_only
112,ANG,MAFF,,left_only
113,ANG,JUND,,left_only
114,ANG,MAZ,,left_only
115,ANG,REST,,left_only
116,ANG,MYC,,left_only
117,ANG,CREB1,,left_only
118,ANG,CEBPD,,left_only
119,ANG,RFX5,,left_only
120,ANG,FOSL2,,left_only
121,ANG,MYBL2,,left_only
122,ANG,ELF1,,left_only
123,WDR54,MAFF,,left_only
124,WDR54,JUND,,left_only
125,WDR54,MAZ,,left_only
126,WDR54,REST,,left_only
127,WDR54,MYC,,left_only
128,WDR54,CREB1,,left_only
129,WDR54,CEBPD,,left_only
130,WDR54,RFX5,,left_only
131,WDR54,FOSL2,,left_only
132,WDR54,MYBL2,,left_only
133,WDR54,ELF1,,left_only
134,ZNF217,JUND,,left_only
135,ZNF217,CREB1,,left_only
136,ZNF217,CEBPD,,left_only
137,ZNF217,FOSL2,,left_only
138,ZNF850,JUND,,left_only
139,ZNF850,MAZ,,left_only
140,ZNF850,REST,,left_only
141,ZNF850,MYC,,left_only
142,ZNF850,CREB1,,left_only
143,ZNF850,CEBPD,,left_only
144,ZNF850,RFX5,,left_only
145,ZNF850,FOSL2,,left_only
146,ZNF850,MYBL2,,left_only
147,ZNF850,ELF1,,left_only
148,PLA2G12B,JUND,,left_only
149,PLA2G12B,MAZ,,left_only
150,PLA2G12B,REST,,left_only
151,PLA2G12B,MYC,,left_only
152,PLA2G12B,CREB1,,left_only
153,PLA2G12B,CEBPD,,left_only
154,PLA2G12B,RFX5,,left_only
155,PLA2G12B,FOSL2,,left_only
156,PLA2G12B,MYBL2,,left_only
157,PLA2G12B,ELF1,,left_only
158,ZNF560,JUND,,left_only
159,ZNF560,MAZ,,left_only
160,ZNF560,REST,,left_only
161,ZNF560,MYC,,left_only
162,ZNF560,CREB1,,left_only
163,ZNF560,CEBPD,,left_only
164,ZNF560,RFX5,,left_only
165,ZNF560,FOSL2,,left_only
166,ZNF560,MYBL2,,left_only
167,ZNF560,ELF1,,left_only
168,ZNF227,JUND,,left_only
169,ZNF227,MAZ,,left_only
170,ZNF227,REST,,left_only
171,ZNF227,MYC,,left_only
172,ZNF227,CREB1,,left_only
173,ZNF227,CEBPD,,left_only
174,ZNF227,RFX5,,left_only
175,ZNF227,FOSL2,,left_only
176,PAFAH1B3,JUND,,left_only
177,PAFAH1B3,MAZ,,left_only
178,PAFAH1B3,REST,,left_only
179,PAFAH1B3,MYC,,left_only
180,PAFAH1B3,CREB1,,left_only
181,PAFAH1B3,CEBPD,,left_only
182,PAFAH1B3,RFX5,,left_only
183,PAFAH1B3,FOSL2,,left_only
184,PAFAH1B3,MYBL2,,left_only
185,PAFAH1B3,ELF1,,left_only
186,SALL4,JUND,,left_only
187,SALL4,MAZ,,left_only
188,SALL4,REST,,left_only
189,SALL4,MYC,,left_only
190,SALL4,CREB1,,left_only
191,SALL4,CEBPD,,left_only
192,SALL4,RFX5,,left_only
193,SALL4,FOSL2,,left_only
194,SALL4,MYBL2,,left_only
195,SALL4,ELF1,,left_only
196,PITX1,JUND,,left_only
197,PITX1,CREB1,,left_only
198,PITX1,CEBPD,,left_only
199,PITX1,RFX5,,left_only
200,PITX1,FOSL2,,left_only
201,THAP5,JUND,,left_only
202,THAP5,MAZ,,left_only
203,THAP5,REST,,left_only
204,THAP5,MYC,,left_only
205,THAP5,CREB1,,left_only
206,THAP5,CEBPD,,left_only
207,THAP5,RFX5,,left_only
208,THAP5,FOSL2,,left_only
209,THAP5,MYBL2,,left_only
210,THAP5,ELF1,,left_only
211,CENPW,MAFF,,left_only
212,CENPW,JUND,,left_only
213,CENPW,FOXA1,,left_only
214,CENPW,MAZ,,left_only
215,CENPW,REST,,left_only
216,CENPW,MYC,,left_only
217,CENPW,CREB1,,left_only
218,CENPW,CEBPD,,left_only
219,CENPW,RFX5,,left_only
220,CENPW,FOSL2,,left_only
221,CENPW,MYBL2,,left_only
222,CENPW,ELF1,,left_only
223,PLRG1,JUND,,left_only
224,PLRG1,MAZ,,left_only
225,PLRG1,REST,,left_only
226,PLRG1,MYC,,left_only
227,PLRG1,CREB1,,left_only
228,PLRG1,CEBPD,,left_only
229,PLRG1,RFX5,,left_only
230,PLRG1,FOSL2,,left_only
231,PLRG1,MYBL2,,left_only
232,PLRG1,ELF1,,left_only
233,MAFF,CCNB1,,left_only
234,MAFF,ANG,,left_only
235,MAFF,WDR54,,left_only
237,MAFF,MAFF,,left_only
238,MAFF,RFC2,,left_only
239,MAFF,DNASE1,,left_only
241,MAFF,JUND,,left_only
242,MAFF,YBX1,,left_only
243,MAFF,F3,,left_only
244,MAFF,EEF1E1,,left_only
245,MAFF,TEAD4,,left_only
246,MAFF,APOC2,,left_only
248,MAFF,CTSC,,left_only
250,MAFF,TET1,,left_only
251,MAFF,FBL,,left_only
253,MAFF,ANLN,,left_only
254,MAFF,DLGAP5,,left_only
257,MAFF,ECT2,,left_only
259,MAFF,DPYSL2,,left_only
260,MAFF,CDK1,,left_only
261,MAFF,C12orf45,,left_only
262,MAFF,ANP32E,,left_only
263,MAFF,CDKN3,,left_only
265,MAFF,NUP93,,left_only
266,MAFF,AURKB,,left_only
268,MAFF,PRIM1,,left_only
269,MAFF,MELK,,left_only
270,MAFF,MCM3,,left_only
271,MAFF,UCP2,,left_only
272,MAFF,CENPE,,left_only
273,MAFF,NUP37,,left_only
274,MAFF,MCM4,,left_only
276,MAFF,DROSHA,,left_only
278,MAFF,GPN3,,left_only
279,MAFF,MAF,,left_only
280,MAFF,MXD1,,left_only
283,MAFF,MCM7,,left_only
286,MAFF,ZWINT,,left_only
288,MAFF,PRPS2,,left_only
290,MAFF,MAZ,,left_only
291,MAFF,RRM2,,left_only
295,MAFF,ICE2,,left_only
296,MAFF,UBE2T,,left_only
298,MAFF,ATF3,,left_only
299,MAFF,REST,,left_only
300,MAFF,MYC,,left_only
302,MAFF,CDC20,,left_only
303,MAFF,KIAA0101,,left_only
304,MAFF,PRKCE,,left_only
305,MAFF,HMGB2,,left_only
306,MAFF,IL6ST,,left_only
307,MAFF,SMC4,,left_only
308,MAFF,FANCD2,,left_only
311,MAFF,AEBP2,,left_only
312,MAFF,HMGA1,,left_only
313,MAFF,ADNP,,left_only
314,MAFF,EPAS1,,left_only
315,MAFF,HAT1,,left_only
316,MAFF,C19orf48,,left_only
317,MAFF,ZNF121,,left_only
318,MAFF,DGAT1,,left_only
320,MAFF,KNSTRN,,left_only
321,MAFF,CEBPD,,left_only
323,MAFF,ZNF519,,left_only
326,MAFF,FANCI,,left_only
327,MAFF,DNMT1,,left_only
330,MAFF,DCAF13,,left_only
331,MAFF,BRIX1,,left_only
337,MAFF,COQ3,,left_only
339,MAFF,RNASEH2A,,left_only
341,MAFF,HGD,,left_only
342,MAFF,KIF23,,left_only
346,MAFF,HMMR,,left_only
347,MAFF,RFX5,,left_only
349,MAFF,PPT1,,left_only
352,MAFF,MYBL2,,left_only
354,MAFF,PRAP1,,left_only
356,MAFF,GMPS,,left_only
358,MAFF,CKS2,,left_only
360,MAFF,CENPN,,left_only
361,MAFF,KLF6,,left_only
363,MAFF,ELF1,,left_only
364,MAFF,MORN2,,left_only
366,MAFF,CHEK1,,left_only
367,MAFF,ZNF532,,left_only
373,FASTKD2,JUND,,left_only
374,FASTKD2,MAZ,,left_only
375,FASTKD2,REST,,left_only
376,FASTKD2,MYC,,left_only
377,FASTKD2,CREB1,,left_only
378,FASTKD2,CEBPD,,left_only
379,FASTKD2,RFX5,,left_only
380,FASTKD2,FOSL2,,left_only
381,FASTKD2,MYBL2,,left_only
382,FASTKD2,ELF1,,left_only
383,BCS1L,JUND,,left_only
384,BCS1L,REST,,left_only
385,BCS1L,CREB1,,left_only
386,BCS1L,CEBPD,,left_only
387,BCS1L,RFX5,,left_only
388,BCS1L,FOSL2,,left_only
389,MTHFD1,JUND,,left_only
390,MTHFD1,MAZ,,left_only
391,MTHFD1,REST,,left_only
392,MTHFD1,MYC,,left_only
393,MTHFD1,CREB1,,left_only
394,MTHFD1,CEBPD,,left_only
395,MTHFD1,RFX5,,left_only
396,MTHFD1,FOSL2,,left_only
397,MTHFD1,MYBL2,,left_only
398,MTHFD1,ELF1,,left_only
399,RAB25,JUND,,left_only
400,RAB25,CREB1,,left_only
401,RAB25,CEBPD,,left_only
402,RAB25,RFX5,,left_only
403,RAB25,FOSL2,,left_only
404,PMAIP1,JUND,,left_only
405,PMAIP1,MAZ,,left_only
406,PMAIP1,REST,,left_only
407,PMAIP1,MYC,,left_only
408,PMAIP1,CREB1,,left_only
409,PMAIP1,CEBPD,,left_only
410,PMAIP1,RFX5,,left_only
411,PMAIP1,FOSL2,,left_only
412,PMAIP1,MYBL2,,left_only
413,PMAIP1,ELF1,,left_only
414,RFC2,MAFF,,left_only
415,RFC2,JUND,,left_only
416,RFC2,MAZ,,left_only
417,RFC2,REST,,left_only
418,RFC2,MYC,,left_only
419,RFC2,CREB1,,left_only
420,RFC2,CEBPD,,left_only
421,RFC2,RFX5,,left_only
422,RFC2,FOSL2,,left_only
423,RFC2,MYBL2,,left_only
424,RFC2,ELF1,,left_only
425,DNASE1,MAFF,,left_only
426,DNASE1,JUND,,left_only
427,DNASE1,MAZ,,left_only
428,DNASE1,REST,,left_only
429,DNASE1,MYC,,left_only
430,DNASE1,CREB1,,left_only
431,DNASE1,CEBPD,,left_only
432,DNASE1,RFX5,,left_only
433,DNASE1,FOSL2,,left_only
434,DNASE1,MYBL2,,left_only
435,DNASE1,ELF1,,left_only
436,FEN1,JUND,,left_only
437,FEN1,MAZ,,left_only
438,FEN1,REST,,left_only
439,FEN1,MYC,,left_only
440,FEN1,CREB1,,left_only
441,FEN1,CEBPD,,left_only
442,FEN1,RFX5,,left_only
443,FEN1,FOSL2,,left_only
444,FEN1,MYBL2,,left_only
445,FEN1,ELF1,,left_only
446,TPM2,JUND,,left_only
447,TPM2,MAZ,,left_only
448,TPM2,REST,,left_only
449,TPM2,MYC,,left_only
450,TPM2,CREB1,,left_only
451,TPM2,CEBPD,,left_only
452,TPM2,RFX5,,left_only
453,TPM2,FOSL2,,left_only
454,TPM2,MYBL2,,left_only
455,TPM2,ELF1,,left_only
456,ISY1,JUND,,left_only
457,ISY1,CREB1,,left_only
458,ISY1,CEBPD,,left_only
459,ISY1,FOSL2,,left_only
460,ZNF569,JUND,,left_only
461,ZNF569,MAZ,,left_only
462,ZNF569,REST,,left_only
463,ZNF569,MYC,,left_only
464,ZNF569,CREB1,,left_only
465,ZNF569,CEBPD,,left_only
466,ZNF569,RFX5,,left_only
467,ZNF569,FOSL2,,left_only
468,ZNF569,MYBL2,,left_only
469,BIRC5,JUND,,left_only
470,BIRC5,MAZ,,left_only
471,BIRC5,REST,,left_only
472,BIRC5,MYC,,left_only
473,BIRC5,CREB1,,left_only
474,BIRC5,CEBPD,,left_only
475,BIRC5,RFX5,,left_only
476,BIRC5,FOSL2,,left_only
477,BIRC5,MYBL2,,left_only
478,BIRC5,ELF1,,left_only
479,MTFP1,JUND,,left_only
480,MTFP1,MAZ,,left_only
481,MTFP1,MYC,,left_only
482,MTFP1,CREB1,,left_only
483,MTFP1,CEBPD,,left_only
484,MTFP1,RFX5,,left_only
485,MTFP1,FOSL2,,left_only
486,MTFP1,MYBL2,,left_only
487,SLC7A3,JUND,,left_only
488,SLC7A3,MAZ,,left_only
489,SLC7A3,REST,,left_only
490,SLC7A3,MYC,,left_only
491,SLC7A3,CREB1,,left_only
492,SLC7A3,CEBPD,,left_only
493,SLC7A3,RFX5,,left_only
494,SLC7A3,FOSL2,,left_only
495,SLC7A3,MYBL2,,left_only
496,SLC7A3,ELF1,,left_only
497,FAM114A1,JUND,,left_only
498,FAM114A1,MAZ,,left_only
499,FAM114A1,REST,,left_only
500,FAM114A1,MYC,,left_only
501,FAM114A1,CREB1,,left_only
502,FAM114A1,CEBPD,,left_only
503,FAM114A1,RFX5,,left_only
504,FAM114A1,FOSL2,,left_only
505,FAM114A1,MYBL2,,left_only
506,FAM114A1,ELF1,,left_only
507,EBNA1BP2,JUND,,left_only
508,EBNA1BP2,MAZ,,left_only
509,EBNA1BP2,REST,,left_only
510,EBNA1BP2,MYC,,left_only
511,EBNA1BP2,CREB1,,left_only
512,EBNA1BP2,CEBPD,,left_only
513,EBNA1BP2,RFX5,,left_only
514,EBNA1BP2,FOSL2,,left_only
515,EBNA1BP2,MYBL2,,left_only
516,EBNA1BP2,ELF1,,left_only
517,CKAP2,MAFF,,left_only
518,CKAP2,JUND,,left_only
519,CKAP2,MAZ,,left_only
520,CKAP2,REST,,left_only
521,CKAP2,MYC,,left_only
522,CKAP2,CREB1,,left_only
523,CKAP2,CEBPD,,left_only
524,CKAP2,RFX5,,left_only
525,CKAP2,FOSL2,,left_only
526,CKAP2,MYBL2,,left_only
527,CKAP2,ELF1,,left_only
528,CTPS1,JUND,,left_only
529,CTPS1,MAZ,,left_only
530,CTPS1,REST,,left_only
531,CTPS1,MYC,,left_only
532,CTPS1,CREB1,,left_only
533,CTPS1,CEBPD,,left_only
534,CTPS1,RFX5,,left_only
535,CTPS1,FOSL2,,left_only
536,CTPS1,MYBL2,,left_only
537,CTPS1,ELF1,,left_only
538,PLAGL2,JUND,,left_only
539,PLAGL2,MAZ,,left_only
540,PLAGL2,MYC,,left_only
541,PLAGL2,CREB1,,left_only
542,PLAGL2,CEBPD,,left_only
543,PLAGL2,RFX5,,left_only
544,PLAGL2,FOSL2,,left_only
545,ZNF484,JUND,,left_only
546,ZNF484,CREB1,,left_only
547,ZNF484,CEBPD,,left_only
548,ZNF484,RFX5,,left_only
549,ZNF484,FOSL2,,left_only
550,JUND,GEMIN8,,left_only
551,JUND,FLRT2,,left_only
556,JUND,CREB3L4,,left_only
558,JUND,MEP1A,,left_only
562,JUND,ANG,,left_only
563,JUND,WDR54,,left_only
565,JUND,ZNF850,,left_only
566,JUND,PLA2G12B,,left_only
567,JUND,ZNF560,,left_only
570,JUND,SALL4,,left_only
571,JUND,PITX1,,left_only
578,JUND,MTHFD1,,left_only
580,JUND,PMAIP1,,left_only
582,JUND,DNASE1,,left_only
583,JUND,FEN1,,left_only
584,JUND,TPM2,,left_only
588,JUND,MTFP1,,left_only
589,JUND,SLC7A3,,left_only
590,JUND,FAM114A1,,left_only
592,JUND,CKAP2,,left_only
593,JUND,CTPS1,,left_only
596,JUND,JUND,,left_only
602,JUND,KDM2B,,left_only
605,JUND,ALG6,,left_only
608,JUND,APOC4.APOC2,,left_only
609,JUND,CBR1,,left_only
610,JUND,TEAD4,,left_only
613,JUND,SEC11C,,left_only
617,JUND,CTSC,,left_only
618,JUND,ZNF677,,left_only
634,JUND,TTF1,,left_only
635,JUND,NNAT,,left_only
647,JUND,PEMT,,left_only
649,JUND,ZNF525,,left_only
656,JUND,CENPF,,left_only
660,JUND,ZNF880,,left_only
661,JUND,NODAL,,left_only
665,JUND,FANCB,,left_only
676,JUND,DKC1,,left_only
677,JUND,THRB,,left_only
678,JUND,ZNF814,,left_only
683,JUND,NPRL2,,left_only
685,JUND,MCM6,,left_only
687,JUND,RFX7,,left_only
688,JUND,ZNF595,,left_only
699,JUND,PPARA,,left_only
702,JUND,ZNF788,,left_only
703,JUND,CAPN12,,left_only
704,JUND,ACAD11,,left_only
708,JUND,WFDC2,,left_only
710,JUND,CREB3L3,,left_only
711,JUND,ZNF281,,left_only
712,JUND,TCF7L1,,left_only
713,JUND,NR3C1,,left_only
714,JUND,PRIM1,,left_only
716,JUND,MYCN,,left_only
717,JUND,MELK,,left_only
720,JUND,MMS22L,,left_only
721,JUND,DDB2,,left_only
723,JUND,LITAF,,left_only
724,JUND,MUSTN1,,left_only
725,JUND,UCP2,,left_only
728,JUND,LCP1,,left_only
740,JUND,UBE2C,,left_only
743,JUND,ZNF726,,left_only
745,JUND,OTX2,,left_only
751,JUND,ZNF22,,left_only
756,JUND,GMEB1,,left_only
764,JUND,MT1G,,left_only
772,JUND,SOX15,,left_only
791,JUND,PRPS2,,left_only
795,JUND,E2F7,,left_only
797,JUND,CKS1B,,left_only
799,JUND,ZNF681,,left_only
800,JUND,CSRP2,,left_only
803,JUND,SCAPER,,left_only
804,JUND,ALDH9A1,,left_only
812,JUND,HELLS,,left_only
823,JUND,POU2F1,,left_only
830,JUND,ZNF660,,left_only
833,JUND,APEH,,left_only
838,JUND,PCGF6,,left_only
839,JUND,BLVRA,,left_only
842,JUND,SLC7A7,,left_only
849,JUND,REST,,left_only
851,JUND,PPP1R7,,left_only
852,JUND,TDGF1,,left_only
854,JUND,SMAD3,,left_only
856,JUND,FAM64A,,left_only
864,JUND,ZFYVE21,,left_only
866,JUND,ZNF93,,left_only
869,JUND,CDC20,,left_only
870,JUND,KIAA0101,,left_only
872,JUND,GRHL1,,left_only
881,JUND,ANPEP,,left_only
883,JUND,TFDP1,,left_only
884,JUND,ZNF85,,left_only
887,JUND,ZNF667,,left_only
895,JUND,ZNF280B,,left_only
903,JUND,KDELR3,,left_only
905,JUND,CNOT10,,left_only
906,JUND,ZNF675,,left_only
909,JUND,TOP2A,,left_only
913,JUND,C3orf14,,left_only
915,JUND,BLM,,left_only
916,JUND,ZNF43,,left_only
917,JUND,HMGCS2,,left_only
921,JUND,MEIS3,,left_only
924,JUND,CIDEB,,left_only
926,JUND,USP7,,left_only
928,JUND,NT5DC2,,left_only
929,JUND,DNMT3B,,left_only
938,JUND,MED21,,left_only
942,JUND,ZNF551,,left_only
943,JUND,PIN1,,left_only
945,JUND,ZFP82,,left_only
948,JUND,NUSAP1,,left_only
950,JUND,PHGDH,,left_only
953,JUND,PSMG1,,left_only
955,JUND,RGN,,left_only
956,JUND,CEBPD,,left_only
959,JUND,ZNF519,,left_only
961,JUND,DPEP1,,left_only
962,JUND,DDAH1,,left_only
964,JUND,ODF2L,,left_only
967,JUND,LGALS2,,left_only
968,JUND,TRIM59,,left_only
970,JUND,ZUFSP,,left_only
972,JUND,ZNF215,,left_only
976,JUND,E2F8,,left_only
979,JUND,ITLN2,,left_only
980,JUND,ECHDC2,,left_only
983,JUND,ZNF714,,left_only
984,JUND,ZNF587B,,left_only
993,JUND,IRF1,,left_only
997,JUND,HNF1B,,left_only
1000,JUND,ETS1,,left_only
1003,JUND,HPRT1,,left_only
1004,JUND,ZNF195,,left_only
1009,JUND,RREB1,,left_only
1010,JUND,ASUN,,left_only
1012,JUND,ZWILCH,,left_only
1013,JUND,GTF2I,,left_only
1015,JUND,ZBTB44,,left_only
1019,JUND,SLC25A20,,left_only
1026,JUND,RNASEH2A,,left_only
1036,JUND,TMEM120A,,left_only
1037,JUND,DPF3,,left_only
1040,JUND,ZFP62,,left_only
1041,JUND,E2F5,,left_only
1049,JUND,ZNF239,,left_only
1052,JUND,ZIK1,,left_only
1053,JUND,DDX39A,,left_only
1055,JUND,RFX5,,left_only
1057,JUND,CCNB2,,left_only
1065,JUND,OCIAD2,,left_only
1070,JUND,GPC3,,left_only
1071,JUND,ZNF718,,left_only
1074,JUND,RHOBTB3,,left_only
1076,JUND,HAUS1,,left_only
1085,JUND,PON2,,left_only
1092,JUND,P4HA2,,left_only
1095,JUND,GNRH2,,left_only
1101,JUND,ZNF107,,left_only
1106,JUND,APOA4,,left_only
1117,JUND,SHISA2,,left_only
1119,JUND,ZNF92,,left_only
1120,JUND,YBX3,,left_only
1124,JUND,KLF6,,left_only
1133,JUND,CD9,,left_only
1138,JUND,ZSCAN2,,left_only
1142,JUND,ZNF532,,left_only
1153,JUND,ZNF208,,left_only
1154,JUND,PTTG1,,left_only
1162,JUND,KNG1,,left_only
1163,JUND,ZNF625,,left_only
1167,ZNF649,CREB1,,left_only
1168,DUT,JUND,,left_only
1169,DUT,MAZ,,left_only
1170,DUT,REST,,left_only
1171,DUT,MYC,,left_only
1172,DUT,CREB1,,left_only
1173,DUT,CEBPD,,left_only
1174,DUT,RFX5,,left_only
1175,DUT,FOSL2,,left_only
1176,DUT,MYBL2,,left_only
1177,DUT,ELF1,,left_only
1178,YBX1,MAFF,,left_only
1179,YBX1,JUND,,left_only
1180,YBX1,MAZ,,left_only
1181,YBX1,REST,,left_only
1182,YBX1,MYC,,left_only
1183,YBX1,CREB1,,left_only
1184,YBX1,CEBPD,,left_only
1185,YBX1,RFX5,,left_only
1186,YBX1,FOSL2,,left_only
1187,YBX1,MYBL2,,left_only
1188,YBX1,ELF1,,left_only
1189,ZNF300,JUND,,left_only
1190,ZNF300,CREB1,,left_only
1191,F3,MAFF,,left_only
1192,F3,JUND,,left_only
1193,F3,MAZ,,left_only
1194,F3,REST,,left_only
1195,F3,MYC,,left_only
1196,F3,CREB1,,left_only
1197,F3,CEBPD,,left_only
1198,F3,RFX5,,left_only
1199,F3,FOSL2,,left_only
1200,F3,MYBL2,,left_only
1201,F3,ELF1,,left_only
1202,ARL6IP6,JUND,,left_only
1203,ARL6IP6,MAZ,,left_only
1204,ARL6IP6,REST,,left_only
1205,ARL6IP6,MYC,,left_only
1206,ARL6IP6,CREB1,,left_only
1207,ARL6IP6,CEBPD,,left_only
1208,ARL6IP6,RFX5,,left_only
1209,ARL6IP6,FOSL2,,left_only
1210,ARL6IP6,MYBL2,,left_only
1211,ARL6IP6,ELF1,,left_only
1212,KDM2B,JUND,,left_only
1213,KDM2B,MAZ,,left_only
1214,KDM2B,REST,,left_only
1215,KDM2B,MYC,,left_only
1216,KDM2B,CREB1,,left_only
1217,KDM2B,CEBPD,,left_only
1218,KDM2B,RFX5,,left_only
1219,KDM2B,FOSL2,,left_only
1220,KDM2B,MYBL2,,left_only
1221,KDM2B,ELF1,,left_only
1222,TGIF2,JUND,,left_only
1223,TGIF2,CREB1,,left_only
1224,TGIF2,CEBPD,,left_only
1225,TGIF2,RFX5,,left_only
1226,TGIF2,FOSL2,,left_only
1227,ZNF695,JUND,,left_only
1228,ZNF695,MAZ,,left_only
1229,ZNF695,REST,,left_only
1230,ZNF695,MYC,,left_only
1231,ZNF695,CREB1,,left_only
1232,ZNF695,CEBPD,,left_only
1233,ZNF695,RFX5,,left_only
1234,ZNF695,FOSL2,,left_only
1235,ZNF695,MYBL2,,left_only
1236,ZNF695,ELF1,,left_only
1237,ALG6,JUND,,left_only
1238,ALG6,MAZ,,left_only
1239,ALG6,REST,,left_only
1240,ALG6,MYC,,left_only
1241,ALG6,CREB1,,left_only
1242,ALG6,CEBPD,,left_only
1243,ALG6,RFX5,,left_only
1244,ALG6,FOSL2,,left_only
1245,ALG6,MYBL2,,left_only
1246,EEF1E1,MAFF,,left_only
1247,EEF1E1,JUND,,left_only
1248,EEF1E1,MAZ,,left_only
1249,EEF1E1,REST,,left_only
1250,EEF1E1,MYC,,left_only
1251,EEF1E1,CREB1,,left_only
1252,EEF1E1,CEBPD,,left_only
1253,EEF1E1,RFX5,,left_only
1254,EEF1E1,FOSL2,,left_only
1255,EEF1E1,MYBL2,,left_only
1256,EEF1E1,ELF1,,left_only
1257,LAMB2,JUND,,left_only
1258,LAMB2,CREB1,,left_only
1259,LAMB2,CEBPD,,left_only
1260,LAMB2,RFX5,,left_only
1261,LAMB2,FOSL2,,left_only
1262,APOC4.APOC2,JUND,,left_only
1263,APOC4.APOC2,MAZ,,left_only
1264,APOC4.APOC2,REST,,left_only
1265,APOC4.APOC2,MYC,,left_only
1266,APOC4.APOC2,CREB1,,left_only
1267,APOC4.APOC2,CEBPD,,left_only
1268,APOC4.APOC2,RFX5,,left_only
1269,APOC4.APOC2,FOSL2,,left_only
1270,APOC4.APOC2,MYBL2,,left_only
1271,APOC4.APOC2,ELF1,,left_only
1272,CBR1,JUND,,left_only
1273,CBR1,CREB1,,left_only
1274,TEAD4,MAFF,,left_only
1275,TEAD4,JUND,,left_only
1276,TEAD4,FOXA1,,left_only
1277,TEAD4,MAZ,,left_only
