Gene1,Gene2
CEBPD,LITAF
CEBPD,PUS7L
CEBPD,GMEB1
CEBPD,APOC3
CEBPD,ID3
CEBPD,AIMP2
CEBPD,NEDD1
CEBPD,GATA4
CEBPD,DERA
CEBPD,DEPDC7
CEBPD,ZFP64
CEBPD,ATIC
CEBPD,ZNF114
CEBPD,FMO5
CEBPD,NT5DC2
CEBPD,HAUS1
CEBPD,EPAS1
CEBPD,TTR
CEBPD,PHF20
CEBPD,MTAP
CEBPD,TFDP2
CEBPD,COQ3
CEBPD,SCAPER
CEBPD,OAZ2
CEBPD,FOXO1
CEBPD,ZNF286B
CEBPD,ZNF573
CEBPD,TPX2
CEBPD,RHOBTB3
CEBPD,AMBP
CEBPD,FOSL2
CEBPD,ASPH
CEBPD,MSH2
CEBPD,LAMC1
CEBPD,ALB
CEBPD,VPS72
CEBPD,WDYHV1
CEBPD,LAMB2
CEBPD,GMPS
CEBPD,GTF2I
CEBPD,EFTUD2
CEBPD,DUT
CEBPD,DECR1
CEBPD,ZNF891
CEBPD,CTPS1
CEBPD,ZNF207
CEBPD,E2F5
CEBPD,ZNF101
CEBPD,MPC1
CEBPD,COMMD10
CEBPD,ZNF281
CEBPD,THYN1
CEBPD,HELLS
CEBPD,C12orf45
CEBPD,ZNF569
CEBPD,ZNF567
CEBPD,PYGL
CEBPD,MELK
CEBPD,LMO7
CEBPD,G6PC3
CEBPD,TMEM120A
CEBPD,CDCA3
CEBPD,ZFYVE21
CEBPD,SULT1A2
CEBPD,EBNA1BP2
CEBPD,NR2F2
CEBPD,F3
CEBPD,RGN
CEBPD,RRM1
CEBPD,KNG1
CEBPD,IMP4
CEBPD,KNSTRN
CEBPD,MORN2
CEBPD,ALDH9A1
CEBPZ,CENPA
CEBPZ,ZBTB3
CEBPZ,TCF3
CEBPZ,ANP32E
CEBPZ,ZFYVE21
CEBPZ,GATAD2B
CEBPZ,TOP2A
CEBPZ,ZNF143
CEBPZ,ZNF91
CEBPZ,KAT7
CREB1,FANCD2
CREB1,ZNF721
CREB1,RRM1
CREB1,ZFAND2A
CREB1,CENPK
CREB1,C11orf1
CREB1,TBRG4
CREB1,NOL10
CREB1,EXOSC9
CREB1,PAK1IP1
CREB1,ATG5
CREB1,KLHL7
CREB1,WDHD1
CREB1,WDR74
CREB1,EFTUD2
CREB1,PHF5A
CREB1,THAP4
CREB1,ING3
CREB1,PRC1
CREB1,PEF1
CREB1,PRMT3
CREB1,MTTP
CREB1,CACYBP
CREB1,CENPE
CREB1,TCF3
CREB1,KAT7
CREB1,ICE2
CREB1,AURKA
CREB1,TSFM
CREB1,HAT1
CREB1,ZNF143
CREB1,TFRC
CREB1,ARG2
CREB1,ZNF589
CREB1,ISY1
CREB1,ZNF891
CREB1,ATP1B3
CREB1,ZNF561
CREB1,NR6A1
CREB1,ZNF146
CREB1,POLB
CREB1,PCNA
CREB1,ATL2
CREB1,RFC4
CREB1,GEMIN8
CREB1,ZSCAN21
CREB1,PHF20
CREB1,TF
CREB1,CKS2
CREB1,RFC2
CREB1,SMC4
CREB1,SKIL
CREB1,NEDD1
CREB1,ZNF121
CREB1,RNASEH2A
CREB1,FOSB
CREB1,NIF3L1
CREB1,AEBP2
CREB1,CREB3L2
CREB1,TIMM21
CREB1,CENPN
CREB1,HERPUD1
CREB1,WDR43
CREB1,ANP32E
CREB1,MLF1
CREB1,MRPS27
CREB1,ZNF562
CREB1,ZNF644
CREB1,NUDT15
CREB1,MCM6
CREB1,ZNF260
CREB1,RNF138
CREB1,NUP35
CREB1,FOSL1
CREB1,MCM7
CREB1,ATG4C
CREB1,LCMT1
CREB1,PEMT
CREB1,CEBPZ
CREB1,AIMP2
CREB1,WARS
CREB1,NPRL2
CREB1,VRK1
CREB1,NUP54
CREB1,MYSM1
CREB1,TIPIN
CREB1,BUB1B
CREB1,EGR1
CREB1,NCAPG
CREB1,NIP7
CREB1,HNRNPH2
CREB1,ADNP2
CREB1,NUF2
CREB1,THAP5
CREB1,MIS18BP1
CREB1,JUND
CREB1,PIGH
CREB1,NDUFAF5
CREB1,SP4
CREB1,CHEK1
CREB1,KIF23
CREB1,RAB28
CREB1,MXD1
CREB1,UBE2T
CREB1,DCAF13
CREB1,HIBCH
CREB1,RUVBL1
CREB1,CHEK2
CREB1,ATF3
CREB1,CENPA
CREB1,TMEM69
CREB1,AASS
CREB1,MTF2
CREB1,GATM
CREB1,CDCA3
CREB1,MAD2L1
CREB1,PUS7L
CREB1,ZWILCH
CREB1,KDM2B
CREB1,FBL
CREB1,FOXP1
CREB1,NUP93
CREB1,PRKCE
CREB1,TFDP1
CREB1,ASL
CREB1,AHR
CREB1,AMZ2
CREB1,ZNF766
CREB1,XBP1
CREB1,E2F3
CREB1,LAPTM4B
CREB1,DRAP1
CREB1,SLC38A2
CREB1,ADNP
CREB1,CRYZL1
CREB1,DPH6
CREB1,C1GALT1
CREB1,RFX5
CREB1,DSN1
CREB1,CENPU
CREB1,GLI1
CREB1,SRF
CREB1,GMPR2
CREB1,MCM3
CREB1,GPN3
CREB1,ARID3B
CREB1,AURKB
CREB1,CCNB1
CREB1,THYN1
CREB1,ORC4
CREB1,MAFF
CREB1,ACADSB
CREB1,PRMT5
CREB1,DPAGT1
CREB1,ZNF574
CREB1,ZNF74
CREB1,CUEDC2
CREB1,SLC7A6
CREB1,KPNA2
CREB1,CXXC1
CREB1,ZNF551
CREB1,CDK5RAP1
CREB1,UTP18
CREB1,TFE3
CREB1,NR1H3
CREB1,DDIT3
CREB1,E2F5
CREB1,ZNF286A
CREB1,MYBL2
CREB1,TPX2
CREB1,ACTL6A
CREB1,PPP1R7
CREB1,CEP70
CREB1,DGAT1
CREB1,TFDP2
CREB1,SIL1
CREB1,DTWD1
CREB1,TATDN3
CREB1,ZNF850
CREB1,FOSL2
CREB1,BPTF
CREB1,ZNF567
CREB1,IQCB1
CREB1,ZNF354A
CREB1,FEN1
CREB1,PARPBP
CREB1,NUP37
CREB1,MPC1
CREB1,THAP1
CREB1,HMGB2
CREB1,ZWINT
CREB1,MCM4
CREB1,EEF1E1
CREB1,BLM
CREB1,ZNF280B
CREB1,CAMK2D
CREB1,BCS1L
CREB1,PLRG1
CREB1,BIRC5
CREB1,CDK4
CREB1,KIF22
CREB1,DLGAP5
CREB1,IL6ST
CREB1,CDKN3
CREB1,TBPL1
CREB1,NOP16
CREB1,ASNS
CREB1,MORN2
CREB1,IMP4
CREB1,CHCHD3
CREB1,TCFL5
CREB1,DROSHA
CREB1,PLK1
CREB1,TGIF2
CREB1,VPS72
CREB1,ZNF33A
CREB1,COMMD10
CREB1,ZNF670
CREB1,HMGA1
CREB1,HMMR
CREB1,TOP2A
CREB1,CKAP2
CREB1,NUP88
CREB1,HMGN4
CREB1,ZNF207
CREB1,DOT1L
CREB1,PMAIP1
CREB1,SEC11C
CREB1,STAT2
CREB1,MRPL1
CREB1,STMN1
CREB1,E2F4
CREB1,MTHFD2
CREB1,UGP2
CREB1,PA2G4
CREB1,ACADVL
CREB1,ISG15
CREB1,UBE2C
CREB1,ZFYVE21
CREB1,NEK2
CREB1,IRF1
CREB1,ALG8
CREB1,CPSF3
CREB1,JUN
CREB1,BRIX1
CREB1,ZNF57
CREB1,SPTLC3
CREB1,ACY1
CREB1,TDP2
CREB1,DNPEP
CREB1,THAP11
CREB1,TOPORS
CREB1,SP8
CREB1,KIF20B
CREB1,ACOT7
CREB1,MAZ
CREB1,GMNN
CREB1,MSH2
CREB1,ZNF232
CREB1,MBNL2
CREB1,ZNF569
CREB1,ZNF691
CREB1,RAD51AP1
CREB1,SKA3
CREB1,FANCI
CREB1,C17orf75
CREB1,GGCT
CREB1,C11orf74
CREB1,MPHOSPH9
CREB1,C19orf48
CREB1,ZNF620
CREB1,MST1
CREB1,CDC20
CREB1,ZNF92
CREB1,ZNF397
CREB1,TEX10
CREB1,DDIT4
CREB1,NUSAP1
CREB1,CENPF
CREB1,TBX3
CREB1,BBS9
CREB1,NUDT1
CREB1,SMAD5
CREB1,ZNF512
CREB1,GTF2I
CREB1,TP53
CREB1,DR1
CREB1,RSU1
CREB1,UQCC1
CREB1,ZBTB3
CREB1,HINFP
CREB1,GATAD2B
CREB1,ZNF134
CREB1,RBPJ
CREB1,UBL7
CREB1,FOXA1
CREB1,NFYB
CREB1,TK1
CREB1,FLRT3
CREB1,CCS
CREB1,ECT2
CREB1,CCNB2
CREB1,E2F8
CREB1,PPIL1
CREB1,ZNF770
CREB1,CETN3
CREB1,ARID2
CREB1,BCL11B
CREB1,IRF9
CREB1,ZNF484
CREB1,USP7
CREB1,FOXN2
CREB1,MEST
CREB1,CCDC82
CREB1,HMGN3
CREB1,PLAGL2
CREB1,SAAL1
CREB1,SLC38A1
CREB1,DNAH14
CREB1,ZNF286B
CREB1,ID2
CREB1,IRF3
CREB1,ZBED5
CREB1,XPO5
CREB1,FAM13A
CREB1,GNPNAT1
CREB1,PRIM1
CREB1,ZFHX3
CREB1,G6PC3
CREB1,ZNF160
CREB1,TIMM9
CREB1,DNMT1
CREB1,APEH
CREB1,AKR1B1
CREB1,CEBPA
CREB1,TMEM120A
CREB1,NVL
CREB1,ZFP64
CREB1,ASPH
CREB1,ZNF91
CREB1,YBX1
CREB1,CMC1
CREB1,HPN
CREB1,DDB2
CREB1,ZNF398
CREB1,WDR12
CREB1,POLR1C
CREB1,CTPS1
CREB1,DCLRE1C
CREB1,EXOSC3
CREB1,DPH5
CREB1,FASTKD2
CREB1,ZFP82
CREB1,ZNF202
CREB1,RFXANK
CREB1,CRAT
CREB1,PSMG1
CREB1,FOXM1
CREB1,ZIK1
CREB1,BPHL
CREB1,HMGCL
CREB1,KNTC1
CREB1,CDK1
CREB1,POP5
CREB1,GSN
CREB1,DECR1
CREB1,MAF
CREB1,CREB3L4
CREB1,ZNF300
CREB1,ATMIN
CREB1,ZFP62
CREB1,ANAPC4
CREB1,LRR1
CREB1,BZW2
CREB1,UCP2
CREB1,AXL
CREB1,COMMD3
CREB1,NDUFAF4
CREB1,PSAT1
CREB1,ZNF573
CREB1,MTERF3
CREB1,IL32
CREB1,E2F7
CREB1,KDELR3
CREB1,BSCL2
CREB1,FAM114A1
CREB1,TERF1
CREB1,IQGAP2
CREB1,NME2
CREB1,WDYHV1
CREB1,ZNF675
CREB1,SGK1
CREB1,DUT
CREB1,ZNF649
CREB1,DPCD
CREB1,HAUS1
CREB1,FUCA1
CREB1,ZNF695
CREB1,PAFAH1B3
CREB1,COQ3
CREB1,PCGF6
CREB1,EPHX2
CREB1,ZSCAN2
CREB1,ECHDC2
CREB1,NR3C1
CREB1,ZNF227
CREB1,ZNF616
CREB1,MMS22L
CREB1,C12orf10
CREB1,USP44
CREB1,ETV5
CREB1,G2E3
CREB1,ZBTB24
CREB1,ATIC
CREB1,APOC2
CREB1,MT1X
CREB1,BUB1
CREB1,PPT1
CREB1,GSTK1
CREB1,ACAA1
CREB1,NUP85
CREB1,MTUS1
CREB1,ASNSD1
CREB1,GEMIN2
CREB1,REST
CREB1,THRB
CREB1,KNSTRN
CREB1,ALDH9A1
CREB1,GYG1
CREB1,FANCL
CREB1,ZNF660
CREB1,EFNA1
CREB1,NR2F2
CREB1,YAF2
CREB1,MTHFD1
CREB1,TMEM177
CREB1,GALM
CREB1,TRIM59
CREB1,KLF5
CREB1,ANXA4
CREB1,ANLN
CREB1,PON2
CREB1,PIM2
CREB1,HSD17B11
CREB1,EBNA1BP2
CREB1,SMAD3
CREB1,ZNF581
CREB1,ANAPC7
CREB1,DNMT3B
CREB1,VEZF1
CREB1,TGIF1
CREB1,ETS1
CREB1,ZNF485
CREB1,POU2F1
CREB1,LMO7
CREB1,STX8
CREB1,SF3B3
CREB1,ACAD11
CREB1,TPD52L1
CREB1,SCAPER
CREB1,FOXO1
CREB1,RBP4
CREB1,HDX
CREB1,GRHL1
CREB1,CTSC
CREB1,WDR54
CREB1,PTTG1
CREB1,ZNF860
CREB1,PEG3
CREB1,MTAP
CREB1,FGA
CREB1,GRPR
CREB1,FOXA2
CREB1,HELLS
CREB1,OAZ2
CREB1,HPRT1
CREB1,F10
CREB1,DEPDC7
CREB1,P4HA2
CREB1,HGD
CREB1,ANG
CREB1,C12orf45
CREB1,ZNF101
CREB1,ALG6
CREB1,CA2
CREB1,EPAS1
CREB1,ZNF480
CREB1,MELK
CREB1,PYGL
CREB1,DPYSL2
CREB1,ZNF43
CREB1,F2RL1
CREB1,CBX2
CREB1,CEBPD
CREB1,ZNF483
CREB1,RAMP1
CREB1,GALK1
CREB1,ZNF66
CREB1,GMPS
CREB1,LAMB2
CREB1,LAMC1
CREB1,DDAH1
CREB1,DPF3
CREB1,ITGB5
CREB1,GMEB1
CREB1,ZNF516
CREB1,ZNF281
CREB1,HIF3A
CREB1,S100A16
CREB1,ETV1
CREB1,CXXC5
CREB1,AGT
CREB1,TET1
CREB1,PHGDH
CREB1,ZNF587B
CREB1,CREB3L3
CREB1,APOB
CREB1,RRM2
CREB1,DERA
CREB1,SMOX
CREB1,SHMT2
CREB1,ZBTB44
CREB1,TEAD4
CREB1,SLC25A20
CREB1,RREB1
CREB1,ETV4
CREB1,BLVRA
CREB1,ZNF253
CREB1,SLC35D2
CREB1,F2
CREB1,NR2F6
CREB1,HP
CREB1,VTN
CREB1,TCF7L1
CREB1,FABP1
CREB1,ZNF85
CREB1,MGST2
CREB1,RHOBTB3
CREB1,AGTRAP
CREB1,DNASE1
CREB1,MLXIPL
CREB1,APOA2
CREB1,PITX1
CREB1,NCOA1
CREB1,AMBP
CREB1,CAPG
CREB1,F3
CREB1,NT5DC2
CREB1,PDGFRA
CREB1,GATA6
CREB1,AHSG
CREB1,ZNF114
CREB1,ASGR1
CREB1,MYC
CREB1,FGG
CREB1,MTFP1
CREB1,HPX
CREB1,BST2
CREB1,HNF4A
CREB1,TEAD2
CREB1,SERPIND1
CREB1,GATA4
CREB1,DDC
CREB1,SP100
CREB1,NR1I3
CREB1,LEAP2
CREB1,APOC3
CREB1,ALB
CREB1,APOA1
CREB1,SOX2
CREB1,SALL2
CREB1,TM4SF4
CREB1,TTR
CREB1,EBF4
CREB1,CSRP2
CREB1,SPP1
CREB1,PRAP1
CREB1,ACOX2
CREB1,NODAL
CREB1,MYCN
CREB1,ARSE
CREB1,PRPS2
CREB1,PDZK1
CREB1,TUBB6
CREB1,LGALS1
CREB1,LITAF
CREB1,SULT1A2
CREB1,MEP1A
CREB1,HMGA2
ELF1,ZBTB24
ELF1,AURKA
ELF1,ATG4C
ELF1,RSU1
ELF1,ZNF766
ELF1,TOPORS
ELF1,MCM4
ELF1,NOL10
ELF1,TF
ELF1,FANCD2
ELF1,IMP4
ELF1,DR1
ELF1,ZNF160
ELF1,ANXA4
ELF1,WDHD1
ELF1,DCAF13
ELF1,DDIT3
ELF1,UGP2
ELF1,E2F4
ELF1,WDYHV1
ELF1,DCLRE1C
ELF1,ZNF92
ELF1,ID2
ELF1,EBNA1BP2
ELF1,UBL7
ELF1,ATG5
ELF1,THAP5
ELF1,NPRL2
ELF1,ZNF721
ELF1,PRMT3
ELF1,KNTC1
ELF1,ZNF398
ELF1,XPO5
ELF1,EFTUD2
ELF1,ORC4
ELF1,ZFAND2A
ELF1,TBRG4
ELF1,ZNF397
ELF1,TMEM120A
ELF1,PARPBP
ELF1,NUP37
ELF1,VPS72
ELF1,ZFP62
ELF1,KAT7
ELF1,BRIX1
ELF1,ARID3B
ELF1,GSN
ELF1,G6PC3
ELF1,ZNF480
ELF1,PHF5A
ELF1,ZSCAN21
ELF1,G2E3
ELF1,NUDT1
ELF1,ZNF512
ELF1,PIGH
ELF1,TBPL1
ELF1,WDR43
ELF1,ANAPC4
ELF1,TPX2
ELF1,WDR74
ELF1,STX8
ELF1,ISY1
ELF1,KIF23
ELF1,CEBPZ
ELF1,HINFP
ELF1,FEN1
ELF1,NUF2
ELF1,ZNF485
ELF1,ALG6
ELF1,C12orf10
ELF1,ALG8
ELF1,SF3B3
ELF1,ZNF202
ELF1,EXOSC3
ELF1,CKS2
ELF1,ZNF227
ELF1,GEMIN8
ELF1,ZNF33A
ELF1,LCMT1
ELF1,ANLN
ELF1,APEH
ELF1,RUVBL1
ELF1,MCM7
ELF1,CDCA3
ELF1,MIS18BP1
ELF1,THAP1
ELF1,ZNF569
ELF1,CCDC82
ELF1,SP100
ELF1,ZNF670
ELF1,ZNF551
ELF1,ZBTB3
ELF1,UTP18
ELF1,ZNF675
ELF1,EXOSC9
ELF1,GSTK1
ELF1,RFXANK
ELF1,ATIC
ELF1,NIP7
ELF1,AIMP2
ELF1,PUS7L
ELF1,VEZF1
ELF1,DNMT1
ELF1,DLGAP5
ELF1,ZNF101
ELF1,SLC25A20
ELF1,NOP16
ELF1,ID3
ELF1,CCNB1
ELF1,FANCI
ELF1,CACYBP
ELF1,BSCL2
ELF1,POLR1C
ELF1,HIBCH
ELF1,PPP1R7
ELF1,NUP54
ELF1,TEX10
ELF1,THAP4
ELF1,ZNF91
ELF1,NUP88
ELF1,MTTP
ELF1,ICE2
ELF1,TP53
ELF1,HMGN4
ELF1,E2F8
ELF1,KIF20B
ELF1,MORN2
ELF1,SAAL1
ELF1,ZNF134
ELF1,UQCC1
ELF1,ZNF43
ELF1,POP5
ELF1,NUDT15
ELF1,CPSF3
ELF1,PRKCE
ELF1,ACAA1
ELF1,CENPF
ELF1,ZNF143
ELF1,NEDD1
ELF1,IRF3
ELF1,TDP2
ELF1,PPARA
ELF1,ZFP64
ELF1,NIF3L1
ELF1,HMGCL
ELF1,ATMIN
ELF1,ZNF691
ELF1,FUCA1
ELF1,DTWD1
ELF1,MCM6
ELF1,DROSHA
ELF1,GMPR2
ELF1,WDR12
ELF1,ZNF354A
ELF1,CXXC1
ELF1,GMEB1
ELF1,IQCB1
ELF1,E2F7
ELF1,TMEM69
ELF1,GMPS
ELF1,NUP35
ELF1,DNPEP
ELF1,THAP11
ELF1,STAT2
ELF1,TSFM
ELF1,PLRG1
ELF1,RAD51AP1
ELF1,CMC1
ELF1,HAT1
ELF1,NUP93
ELF1,GATM
ELF1,ZNF567
ELF1,FOXN2
ELF1,ZNF232
ELF1,ZNF616
ELF1,NR1H3
ELF1,PAK1IP1
ELF1,DPAGT1
ELF1,PA2G4
ELF1,PPIL1
ELF1,BCS1L
ELF1,CRYZL1
ELF1,FANCL
ELF1,CHEK2
ELF1,CDK5RAP1
ELF1,MCM3
ELF1,ZNF66
ELF1,MAZ
ELF1,NR3C1
ELF1,CTSC
ELF1,YBX1
ELF1,ZNF74
ELF1,TGIF2
ELF1,COMMD10
ELF1,FBL
ELF1,TEAD4
ELF1,WARS
ELF1,TATDN3
ELF1,RFC2
ELF1,NDUFAF5
ELF1,C12orf45
ELF1,RNASEH2A
ELF1,CENPU
ELF1,ARID2
ELF1,ING3
ELF1,PEMT
ELF1,C11orf74
ELF1,SP4
ELF1,ZBED5
ELF1,TRERF1
ELF1,NCAPG
ELF1,ZNF57
ELF1,NME2
ELF1,LGALS1
ELF1,RFC4
ELF1,BST2
ELF1,ZNF85
ELF1,MELK
ELF1,FOXP1
ELF1,MRPL1
ELF1,MTF2
ELF1,NVL
ELF1,ZNF484
ELF1,KNSTRN
ELF1,ZNF573
ELF1,CUEDC2
ELF1,C1GALT1
ELF1,RRM1
ELF1,C17orf75
ELF1,TFRC
ELF1,DRAP1
ELF1,ZWINT
ELF1,MST1
ELF1,NR6A1
ELF1,PEF1
ELF1,BLM
ELF1,ZNF850
ELF1,ZFYVE21
ELF1,ACADSB
ELF1,ZNF286A
ELF1,UCP2
ELF1,VRK1
ELF1,YAF2
ELF1,ZWILCH
ELF1,ZNF300
ELF1,SLC35D2
ELF1,HNRNPH2
ELF1,GATAD2B
ELF1,JUN
ELF1,ARG2
ELF1,THYN1
ELF1,MGST2
