TF,Target
CEP55,QPCT
BAG3,USP53
MCC,ST8SIA4
EXO1,ITFG1
ZIC3,LIPG
BMP4,ZIC3
ALG11,CSTF1
PPIP5K2,TBPL1
BCAP29,NDC80
NT5C3,ARMC8
UBE2D1,KIF23
ZNF302,MAP4K3
GATA6,SLC38A9
PIP4K2A,RALB
MLF1IP,ZFYVE16
KIT,CEP70
PIK3R5,PENK
SLC46A3,KAT7
CCNA2,HMMR
MYCT1,DKK1
ARL4D,SFRP1
GNAI1,OTX2
TBPL1,ANKRD28
NCAPG,ARL4A
BLM,ALG6
HBP1,ANAPC4
FAM69A,ERCC-00042
MYNN,TIPIN
ARHGAP29,ERCC-00042
TMOD1,DYRK2
RAVER2,FAM173B
GATM,CDK1
GYPE,NODAL
ASUN,MLF1IP
FOS,ERCC-00074
RPL17-C18ORF32,CLK1
TP53INP1,COL4A1
CEP55,FBXL5
FAM69A,GRPR
LTN1,RSPO3
ARHGAP29,GRPR
ERCC-00113,NXT2
DNA2,IFI16
UGGT2,MTMR2
AXL,NODAL
HIBCH,B3GNT5
PMP22,PIK3R5
NTS,UBE2W
SPPL2A,IFI16
ERCC-00112,RPE
CNKSR3,LGR4
MFAP4,B3GNT5
OXR1,PRIM1
CPE,NDFIP2
CYP1B1,CNTRL
ACOX3,PIBF1
ARL4A,RLF
OXTR,ERCC-00136
AMIGO2,ITGA5
ERCC-00044,PROM1
RHAG,CCDC138
ERCC-00095,GLMN
POLR3G,ST8SIA1
TADA1,NCAM1
ZEB2,PENK
GLMN,ARMC8
FZD5,ATG4C
FAM135A,STK17B
KLHL12,HAND1
C1ORF112,GNAI1
PGM2,ELMOD2
DUSP11,KIF15
AKAP2,PLK1
LECT1,GDAP1
PRICKLE1,BAG3
ANKRD28,DNAJB14
GNAI1,ALPK2
ANKRD6,PRPS2
CRYZL1,GTF2B
PLK4,OTX2
KLHL24,ASNS
ERCC-00046,KDR
ACTC1,ERCC-00112
ZNF268,FARSB
APLNR,SLC6A15
VPS54,C11ORF82
CCDC82,PMAIP1
ERCC-00076,ERCC-00042
SLC19A2,STK3
ITFG1,PDLIM3
GPC3,KIT
CEP55,LRRCC1
MANEA,OTUD6B
MLLT3,KLHL24
HDHD2,PIP4K2A
DEPDC1B,GYPB
ERCC-00076,GRPR
BMP2,DNA2
PELI2,ELOVL2
WDR41,BMP4
ANKMY2,CLGN
MRE11A,EPCAM
PDLIM3,MELK
OTUD6B,RFPL2
MID1,TRUB1
KIF15,PLAU
CBR1,MORC3
ALCAM,GABRB2
CDH11,CENPC1
MANEA,NUDT11
GPR83,LPIN1
PDGFRA,PLXNA2
TRIM36,YPEL5
BLM,PRIM1
GLMN,EFTUD1
SFRP1,CEP70
KIAA0528,ODC1
MAP4K3,RND3
OXTR,PARPBP
ERCC-00145,WDFY1
MBOAT1,DOCK7
PPPDE1,MRE11A
PRICKLE1,FAM46A
ZNF791,CNTRL
ERCC-00136,BTBD10
ZNF670,WLS
C11ORF82,ARFGAP3
ANKRD6,ANKRD28
UBE2D1,KDR
PELI2,FOS
ALPK2,MALT1
ERCC-00062,ANKMY2
ST3GAL6,NCAPG
AGL,ZNF516
DTL,ERCC-00074
MYNN,FBXO5
NCAM1,WLS
PROM1,SKA3
RHAG,PRICKLE1
YEATS4,B3GNT2
CEP70,CCDC81
ACTC1,COQ3
PARPBP,ANKRD6
SLC6A15,TMEM47
CD9,HAPLN1
PARPBP,LEPREL1
PPIP5K2,PRPS2
ALPK2,ENC1
ERCC-00002,TMEM47
ERCC-00130,ZEB2
TNFAIP8,ERCC-00171
ERCC-00044,APLNR
NXT2,TBPL1
ZNF567,ERCC-00022
CENPQ,ZNF280B
ERCC-00009,SEMA5A
TNFAIP8,LPGAT1
RAD51AP1,SPP1
RAVER2,CCNE2
PIP4K2A,TRDN
TDRD7,KDR
GYPA,MTERFD1
ELL2,PDLIM3
BMPER,ERCC-00136
WDR41,COL1A2
IL6ST,PGM2
ZNF138,PRTG
PRPS2,B4GALT4
ESCO2,ZEB1
SORL1,SNX14
NLGN4X,GLIPR2
ERCC-00112,ZNF670
SERHL2,ACTC1
ERCC-00113,DNAJB14
HEG1,SLC39A8
DDX20,DNAJB9
SLCO2A1,BMPER
MORC3,REV3L
CD200,FBN1
GATM,GLIPR2
PRICKLE1,FASTKD3
RHAG,FAM54B
CDK1,PIP4K2A
ITFG1,BMP4
ZNF518B,STK38L
UBE2W,STK3
GYPE,NUDT10
RNF138,NFIB
RLF,SLC6A15
ZNF567,ACTC1
SORL1,WDR48
ABCA1,NUP35
EFNA5,PLK1
DDX20,DERA
DLC1,AMIGO2
LYPLAL1,TMEM38B
FBXO28,CYP26A1
CHL1,ZBTB11
HLA-DQB1,FREM1
MLLT3,ST3GAL6
B3GNT2,OTX2
SLC46A3,COL5A2
EPCAM,MORC3
PPIP5K2,ANKRD28
ESRP1,RRM2B
KIAA1324L,STK38L
ERCC-00095,NUP35
RHAG,ST6GALNAC3
ERCC-00131,KLF10
CRYZL1,AMIGO2
ELMOD2,ZNF521
FER,TMCC1
WDR48,TMCC1
MPHOSPH9,CNKSR3
MAGI3,CDH11
CDC23,DTL
CASD1,NT5C3
GRPR,ARMC8
INSIG2,GFM1
RFPL2,ZBTB11
KIAA1467,SFRP2
ERCC-00111,CNKSR3
MALT1,SNX14
TDP2,ERCC-00002
ST3GAL6,ELL2
CD200,ROR2
ERCC-00131,ARMCX3
PDCD4,KIAA1324L
FASTKD1,NID1
LRIG3,KIAA1804
ELMOD2,USP31
SLC39A8,NLGN4X
BMPER,PARPBP
UTP15,GABRB2
CCDC138,KIF23
GABPA,DLC1
MALT1,WDR48
ERCC-00145,GYPE
POLR3G,USP53
SFRP2,LGR5
DEPDC1B,CPE
EFTUD1,ELMOD2
TOM1L1,PRMT6
PRKRIR,MID1
CDC20,ERBB4
ARMC8,CCDC81
ODC1,TNFAIP8
TNFRSF11B,GATA6
SYNC,ERCC-00092
RFPL2,COL5A1
RNF138,HLA-DQB1
ERCC-00004,AK4
TTC39B,YEATS4
KRCC1,FAM54B
B3GNT2,ALPK2
ELL2,BMP4
CSTF1,TDP2
CHL1,ERCC-00095
FAM89A,ERCC-00004
FAM117B,RSPO3
COBLL1,WDR35
SKA3,ZDHHC21
PDGFRA,OTX2
HBP1,MAN1A1
SLC46A3,MTERFD1
KIAA0528,BCAP29
ERCC-00062,PCDH7
YPEL5,LPGAT1
PLOD2,CDC23
ST6GALNAC3,STK38L
PALLD,KIAA1324L
DYRK2,ERCC-00096
ERCC-00025,ERCC-00046
DECR1,EOMES
TSPAN12,KIF23
ERCC-00171,C1ORF112
DNAJB14,ZNF518B
ZDHHC21,SLCO2A1
LIPG,KBTBD2
RFPL2,ERCC-00095
CPE,ERCC-00108
HLA-DQB1,TNFRSF11B
DEPDC1B,MRS2
VIM,ERCC-00171
GDF3,GPC3
LGR4,SLC38A9
PMAIP1,ALG6
KBTBD2,CCDC81
CDC20,SEC24D
PLAU,ALCAM
MOSPD1,PPPDE1
FAM46A,CYP26A1
TTC14,NRP1
SLC39A8,B4GALT4
IFI16,RGS5
EFNA5,SLC18A2
AMIGO2,HPRT1
FBXO11,STK38L
HAND1,SLC38A9
MOSPD1,ARFGAP3
CLK1,ZNF791
C1ORF112,NDC80
FBXO28,PRSS35
ERCC-00096,HDHD2
CHEK2,HLA-DRB1
TMOD1,SH3BGRL2
RPL17-C18ORF32,MCC
SPPL2A,ERCC-00136
GPC3,FBXO28
YEATS4,VPS54
KIF18A,UTP15
ELL2,COL1A2
ZEB1,ERCC-00042
CAMK2D,PRMT6
ERCC-00112,RMI1
RND3,ZNF567
ALG11,DLC1
ALCAM,ROR2
MME,GTF2H2D
WDR35,KLF10
SPP1,RNF13
ZEB1,GRPR
CEP70,DDX20
ASNS,RSPO3
OXR1,KIAA1467
NID1,PNPLA8
CCDC138,ESRP1
PIBF1,ZNF567
SLC18A2,NT5C3
KIF15,EPCAM
PARPBP,FER
CTSK,KAT7
KIF4A,CDC7
FBXL5,SEMA3E
WDR35,ARMCX3
APOBEC3G,TRDN
ASUN,HAS2
PHLDA1,ERCC-00002
NXT2,ANKRD28
ZNF302,KIF4A
SYNC,SORL1
SLC18A2,ALPK2
TFPI,PRTG
CEP55,MTMR2
MPHOSPH9,ARG2
SKA3,ASNS
KIAA1804,ZNF516
ERCC-00022,MALT1
ARG2,MMP16
CLK1,VWA5A
CCDC138,KDR
CCDC81,AKAP2
ERCC-00111,ARG2
SERHL2,RFPL2
GTF2H2D,COMMD10
BNIP3,ALG6
SLC35A3,NRP1
CHEK2,ITGA6
HSD17B11,ERCC-00112
S1PR3,PPPDE1
CCNA2,STK38L
ERCC-00022,ENC1
FREM1,HMMR
NIPSNAP3A,C12ORF23
SPPL2A,PARPBP
ANKRD13C,ANGPT2
DCAF6,ERCC-00130
CHL1,FASTKD1
PDE3B,USP44
S1PR3,ARFGAP3
EFNA5,COBLL1
PMAIP1,PRIM1
ZNF567,RFPL2
FOS,KLHL4
ASS1,GTF2H2D
TSPAN12,KDR
SFRP2,BMP2
ERCC-00004,KRCC1
CPE,ARL4A
NFIB,METTL18
HAPLN1,CCNA2
NDC80,ELMOD2
MCCC1,RGS5
LRRC40,ERCC-00043
BMP2,KIAA1467
DYRK2,CTSK
KIF18A,ELOVL2
BAG3,LIPG
PALLD,ANAPC4
TTC39B,DKK1
CHEK2,VIM
ATL2,MORC3
RRM2B,ELOVL2
TFB2M,LIFR
SORL1,ZNF138
NIPSNAP3A,BNIP3
FARSB,GYPB
MLF1IP,DOCK7
ZNF138,USP44
PRMT6,ZNF567
TMOD1,REV3L
HSD17B11,COQ3
ERCC-00003,MPHOSPH9
WDFY1,PLK1
ASS1,FAM188A
ERCC-00046,FAM89A
CD48,TTK
TMEM64,ERCC-00076
KDELR3,CNTRL
PPM1H,ERCC-00130
KDR,SLCO2A1
ARMC8,DDX20
MAN1A1,C1ORF112
UTP15,ROR2
HAPLN1,VAMP7
PDCD4,NFIB
CCNE2,ERCC-00130
RRM2B,FOS
YEATS4,KAT7
ELOVL2,PRDM1
PLK2,NRP1
DCUN1D4,CCKBR
CCKBR,FAM69A
COQ3,NUDT11
ERBB4,PLCB4
LEPREL1,CBR1
OXR1,CYP1B1
SLCO2A1,NDFIP2
FBXO3,RRM2B
MYNN,PGM2
CDCA2,MLLT3
B3GNT5,MTMR2
DNA2,DCUN1D4
NRP1,MLF1IP
WDR41,TSPAN12
AK4,PLK2
NODAL,ERCC-00113
TOM1L1,GABPA
HTRA1,GCA
GPC3,HSF2
CYP26A1,ERCC-00062
ALG11,AGL
ERCC8,RNF138
DDX20,LHX1
ZNF268,PDGFRA
CCDC81,OTUD6B
NFIB,ELMOD2
CALB1,MAP4K3
KBTBD2,DDX20
METTL18,COMMD10
DCAF6,ERCC-00025
ANGPT2,ZNF516
CEP70,NXT2
ZNF516,CDC23
VAMP7,ASNS
ZNF268,ASUN
USP53,SEMA3E
RND3,ST8SIA1
BCL11A,PRDM1
GDAP1,LGR5
GNAI1,CCDC66
FAM188A,FBN1
SORL1,CEP70
CCDC81,NUDT11
ZEB2,MID1
INSIG2,ERCC-00002
GNG11,GDF3
DTL,KLHL4
CER1,SYNC
PRPS2,ZNF302
OTUD6B,TMEM38B
CCDC66,RRM2B
TMCC1,CCDC82
FLRT3,FAM89A
ZNF280B,IPO11
FAM135A,KDR
CLDN11,ERCC-00060
VASH2,ERCC-00113
PDCD4,HLA-DQB1
RFPL2,RND3
NUDT11,ZEB1
STAT1,ASNS
CAP2,ERCC-00076
FEZ1,TRUB1
TBX3,BLM
VIM,BUB1B
ITFG1,ERCC-00060
KLHL28,CTSK
COBLL1,GDAP1
TNFRSF11B,KLHL24
GATM,MYOCD
ECT2,PLK2
DYRK2,KIAA1804
PDLIM3,HIBCH
SEMA5A,LPIN1
TBX3,HLA-DRB1
PGM2,TMEM47
BMP2,CYP1B1
RPE,CDC7
SFRP1,ANXA3
FOS,LGR5
FAM188A,ROR2
LECT1,RNF138
YPEL5,PALLD
CAMK2D,GABPA
TDP2,ATG4C
ERCC-00131,CDH11
ITFG1,TSPAN12
STK38L,C1ORF112
UBE2D1,GRPEL2
MALT1,CEP70
GATA4,HMMR
GLDC,SEMA3E
LPGAT1,GYPA
PLK4,CCDC66
C5ORF22,CD200
TTC14,DKK4
PCDH7,CYP26A1
ALG6,OXTR
FARSB,CPE
WNT5A,CEP70
PLK4,HTRA1
GATM,RAVER2
NODAL,RNFT1
ITFG1,DEPDC1B
EFNA5,SKA3
VWA5A,RNF13
MRE11A,HBP1
COCH,KIAA0528
EXO1,ERCC-00145
LIFR,TDP2
BTBD10,CDK6
EPHA4,TDP2
GYPB,PLAU
MRE11A,MME
ERCC-00042,PLK2
FBXO28,HAPLN1
CD200,ERCC-00074
ZNF302,WLS
SLC19A2,CASD1
FER,PAM
FER,CEP55
IPO11,MRE11A
WDR48,CEP55
NDC80,KLHL28
TBX3,ITGA6
UGGT2,USP44
VPS54,UGGT2
TTC14,CLDN11
SFRP2,NODAL
STK17B,RNFT1
MTERFD1,GFM1
RNF138,ERCC-00112
WDR41,ARG2
VASH2,RNFT1
DDAH1,EFTUD1
DERA,ZEB1
AKAP2,CENPC1
LRRC40,PPPDE1
ALG6,KDELR3
ESCO2,UBE2D1
GCA,ALG11
UBE2D1,COLEC12
ERCC-00171,SEMA5A
CENPC1,BUB1B
ELL2,TSPAN12
HAPLN1,COL4A1
AK4,PMAIP1
CEP70,DNAJB14
AKAP2,PELI2
CELF2,TRDN
NRP2,HAS2
DLC1,PRMT6
LRRCC1,PPIP5K2
RGS5,ZNF791
KAL1,TMX3
HEG1,RPE
ZNF280B,GLDC
WDR41,AXL
MCC,SLC19A2
PTPRZ1,RALB
WDFY1,COBLL1
RHOBTB3,ERCC-00113
HIBCH,UBE2W
SLC35A3,DKK4
KBTBD2,NXT2
NUDT10,NXT2
ELL2,DEPDC1B
MFAP4,UBE2W
TBX3,VIM
DUSP11,PIBF1
YEATS4,COL5A2
LEPREL1,FARSB
PDE3B,GLIPR2
TDRD7,COLEC12
ERCC-00004,GATM
ERCC-00043,RGS5
GABRB2,SEMA5A
SLC38A9,RGS5
PRDM1,B3GNT2
PTGR1,RHOBTB3
QPCT,CBR1
RNF138,COQ3
NODAL,TMOD1
POLR3G,LIPG
TRUB1,GYPE
CEP55,PRTG
SLC46A3,HSD17B11
WDR35,CDH11
GPC3,ERCC-00009
RND3,USP53
PCDH7,PRSS35
COL1A2,GATM
PRICKLE1,ERBB4
B3GNT2,CCDC66
PHLDA1,ATG4C
ATG4C,PROM1
BMP4,MLLT3
CRHBP,BNIP3
ZNF521,APOBEC3G
SLC35A3,CLDN11
UBE2W,CASD1
ERCC-00092,TRDN
FAM46A,HAPLN1
GRPEL2,MOSPD1
ZNF138,GLIPR2
ANXA3,S1PR3
ANKRD13C,RSPO3
SENP7,SLC35A3
SLCO2A1,ERCC-00108
RGS5,VWA5A
PIBF1,USP53
SEMA3E,DTL
C3ORF58,ANGPT2
KIAA0528,CLK1
BLM,KIAA1324L
MLLT3,FBXO11
GTF2H2D,FAM117B
VASH2,TMOD1
GNAI1,CCDC81
GLIPR2,ERCC-00025
ZNF521,UBE2D1
PARPBP,EXO1
GATM,PLK4
LRRCC1,FLRT3
FAM54B,COMMD10
IPO8,TMEM64
YEATS4,MTERFD1
USP31,MLF1IP
KIAA0528,DECR1
ROR2,GLMN
CLK1,TDRD7
EFTUD1,TMEM47
ITFG1,AXL
TMOD1,GATA4
PLK2,DKK4
USP44,ST8SIA1
PRICKLE1,SEC24D
MTERF,CCKBR
DRAM2,AGL
SEMA5A,GTF2B
GRPEL2,KDELR3
TFPI,CDK1
ST8SIA4,RGPD2
RHOBTB3,RNFT1
TNFRSF11B,B3GNT5
CCKBR,SEMA6D
KLHL6,CYP26A1
ERCC-00136,CAMK2D
EFNA5,CENPC1
ERCC-00062,MTMR2
FREM1,STK38L
GDF3,ERCC-00022
KLHL12,FAM89A
ALG11,GLRX
RAVER2,SPP1
DECR1,ELMOD2
PDGFRA,HTRA1
TBC1D23,C5ORF22
GPSM2,IGDCC4
CDCA2,STK3
HSF2,PDCD4
C4ORF46,YEATS4
STK3,C5ORF22
BMP4,PHC1
SLC39A8,DNA2
HEG1,ZNF670
TTC14,IL6ST
PLK2,CLDN11
ERCC-00112,RLF
TBPL1,PTGR1
PRSS23,CRYZL1
SERHL2,TMEM38B
ESRP1,TOM1L1
GTF2H2D,CSTF1
CDK6,LPIN1
HTRA1,C3ORF14
MELK,TTC14
ATG4C,APLNR
LTN1,STK3
HTRA1,WDR41
NUDT10,DNAJB14
RPL17-C18ORF32,PPIP5K2
IPO8,ENC1
ACOX3,NUDT11
ARFGAP3,DUSP10
GCA,CDC20
SEMA3A,C12ORF23
SH3BGRL,ZNF302
PRMT6,USP53
ERCC-00096,GLDC
ELL2,AXL
GYPB,KIF15
HDHD2,MBOAT1
CCDC138,GRPEL2
NRP1,HAS2
PTPRZ1,TRDN
NIPSNAP3A,ERCC-00003
SH3BGRL2,FAM135A
ZIC3,LPIN1
PHC1,S1PR3
TNFAIP8,FASTKD5
PLOD2,ZNF280B
PHC1,OXR1
CDH11,LGALSL
WDR35,MTERF
KIF15,HBP1
FAM173B,BAG3
IFI16,DNA2
BMP4,WWP1
GYPB,EPCAM
ALG6,NCAPG
USP31,PDCD4
MYCT1,CYP26A1
METTL18,FAM117B
YPEL5,MAGI3
TIPIN,NT5C3
KIF15,MME
DYRK2,DUSP4
SLCO2A1,ARL4A
COCH,MYCT1
SEMA3A,BNIP3
INSIG2,ATG4C
RHOBTB3,TMOD1
TBX3,STK17B
ERCC-00145,GATA6
ERCC-00009,PENK
ST3GAL6,RRM2B
DECR1,WNT5A
FBXL5,NCAM1
PRDM1,VPS54
ALPK2,FAM188A
SLC35A3,IL6ST
FBN1,ERCC-00002
ACTC1,ARHGAP29
NRP2,LGR4
CALB1,KIF4A
QPCT,FARSB
CDH11,SLC35A3
TP53INP1,B3GNT5
KLHL6,PRSS35
COL5A1,EFTUD1
BLM,ANAPC4
ENC1,PLK2
CER1,KBTBD2
RPL17-C18ORF32,FLRT3
RAD51AP1,BMP2
KLF10,PRMT6
APLNR,ARFGAP3
CCDC138,COLEC12
RGPD2,MTMR6
ZNF302,COCH
SIRT1,ERCC-00002
DLC1,GABPA
FAM69A,LGR5
PPM1H,TBPL1
DDAH1,PLXNA2
HSF2,C11ORF82
CCNE2,TBPL1
GTF2B,OXR1
FAM173B,FAM46A
MTMR2,RPL17-C18ORF32
ITGA5,ORC5
FAM117B,SLC39A8
PDCD4,ERCC-00112
CRYZL1,GABPA
NDC80,TMEM47
LGALSL,ERCC-00044
LGR5,TRUB1
NAP1L3,C12ORF23
BMP4,ANKRD13C
CENPC1,MORC3
METTL18,CSTF1
PENK,COMMD10
B3GNT2,CCDC81
ID2,FER
LHX1,RPL17-C18ORF32
MTERFD1,ERCC-00002
ERCC-00145,PPIP5K2
TSPAN12,COLEC12
ZNF302,ERCC-00131
KIF23,YEATS4
GNAI1,DDX20
ASH2L,ZNF268
BTBD10,GPC3
ZUFSP,ZNF567
ALG6,ELL2
KLHL28,BLM
STK38L,SEMA5A
FAM188A,ERCC-00074
YPEL5,FASTKD5
HEG1,RMI1
CHEK2,KIF23
ARHGAP28,USP31
SERPINE2,ERCC-00130
GATA4,STK38L
SORL1,ANXA3
PLK2,IL6ST
C4ORF46,DKK1
LIFR,ZFYVE16
NAP1L3,BNIP3
KIF4A,OXTR
EPHA4,ZFYVE16
CEP55,USP44
CDC23,CAP2
PDCD4,COQ3
SFRP1,FBXO3
MYCT1,PRSS35
COBLL1,PTPRZ1
MLF1IP,SEMA3A
KIT,PPM1H
DECR1,KLHL28
SEC24D,HEG1
HTRA1,ARL4D
ANAPC4,TDP2
LIPG,MTMR2
LRRCC1,ST3GAL6
ZNF670,ST8SIA4
ASNS,SLC39A8
NFIB,TMEM47
IGDCC4,ELOVL2
KIT,NTS
PCDH7,HAPLN1
NCAM1,ST8SIA4
CD200,KLHL4
C3ORF58,LRRC40
IL6ST,DDAH1
RLF,ARFGAP3
CD48,AMIGO2
CDK6,GTF2B
FER,EOMES
ERCC-00025,SYNC
WDR48,EOMES
ERCC-00112,ABCA1
CDC23,LYPLAL1
AMIGO2,CD200
PALLD,COQ3
ERCC-00145,FLRT3
TBPL1,STAT1
HIBCH,ERCC-00046
LTN1,KIF18A
ST8SIA1,ALG6
RGPD2,KIF15
SFRP2,KAT7
NUDT11,UBE2D1
MCC,GLMN
MALT1,ANXA3
FASTKD3,PDGFRA
KIAA0528,MCC
USP53,NCAM1
SH3BGRL2,TRIM36
CENPQ,ERCC-00096
REV3L,PRDM1
FASTKD3,ASUN
AKAP2,ERCC-00136
WDFY1,CENPC1
SPP1,NT5C3
DRAM2,GLRX
SNX14,LECT1
PROM1,LGALSL
DKK4,USP31
PELI2,EPHA4
CCDC81,ALCAM
SLC18A2,CCDC81
GYPA,MOSPD1
WDFY1,PELI2
PRSS23,PLK1
ARFGAP3,CENPQ
ZBTB11,DYRK2
FASTKD1,ERCC-00042
FAM135A,COLEC12
ENC1,PMAIP1
SPP1,ALPK2
ERCC-00112,PHLDA1
PPM1H,PRPS2
CLK1,C4ORF46
RFESD,ERCC-00130
CCNE2,PRPS2
FASTKD1,GRPR
CHEK2,ESRP1
SERPINE2,ERCC-00025
LGR4,LIFR
OXR1,MAN1A1
KLF10,SLC46A3
ELOVL2,PMP22
ZNF516,ZNF280B
ERCC-00003,CNTRL
GCA,FEZ1
NID1,GNG11
C3ORF14,ZIC3
ARG2,PLK1
TNFAIP8,COL5A1
FBXO3,TOM1L1
HAND1,LIFR
GYPA,KDELR3
SLC6A15,BTBD10
FAM54B,FAM117B
GLDC,NCAM1
LEPREL1,PDGFRA
GATA6,ZEB1
ERCC-00062,PRTG
RND3,RAD51AP1
GABPA,RAD51AP1
TTC14,CDCA2
LEPREL1,ASUN
MAGI3,TNFAIP8
TTC14,POLR3G
TMX3,BUB1B
SFRP1,PPM1H
B4GALT4,LGR4
BNIP3,KIAA1324L
GPSM2,MANEA
MMP16,GYPB
WWP1,TRUB1
ERCC-00060,OXTR
KAL1,RPE
KIF23,DKK1
BCL11A,PMP22
ERCC-00022,FAM188A
PRIM1,DTL
SFRP1,NTS
DERA,UBE2D1
GPR83,MYNN
TMEM38B,BUB1B
CYP1B1,ZDHHC21
C1ORF112,MRE11A
BUB1B,ERCC-00171
ZUFSP,ST8SIA1
DKK1,RHOBTB3
BUB1B,LPGAT1
CDH11,PRSS23
B3GNT2,DDX20
PLP1,ECT2
ERCC-00043,ALG6
VPS54,ERCC8
KLHL24,ERCC-00076
ST8SIA4,SERPINE2
CLGN,SPPL2A
GPR83,CLDN11
ESCO2,ERCC-00004
GTF2H2D,DLC1
SLC46A3,MOSPD1
RND3,LIPG
CDC7,CDC23
CTSK,ZUFSP
ASUN,IPO8
COL5A1,PLXNA2
FAM54B,CSTF1
NDFIP2,HEG1
ERCC-00145,KLHL24
ERCC-00074,ERCC-00171
RAD51AP1,B3GNT2
C11ORF82,IPO11
MPHOSPH9,YPEL5
YEATS4,HSD17B11
PIBF1,LIPG
RFESD,ERCC-00025
ERCC-00060,KDELR3
MCC,NUP35
IFI16,KIAA1467
ERCC-00130,ANKMY2
ERCC-00111,YPEL5
FAM89A,FREM1
KDR,C1ORF112
GLRX,MMP16
KLHL6,HAPLN1
CENPQ,CTSK
DUSP4,BCL11A
SLC35A3,CDCA2
SLC35A3,POLR3G
TOM1L1,SLC6A15
ERCC8,SERHL2
RNFT1,RRM2B
KLF10,NAP1L3
TBX3,KIF23
SYNC,GABRB2
FEZ1,TBC1D23
YPEL5,COL5A1
PLCB4,ZNF567
MID1,TIPIN
ZNF791,ZDHHC21
LRRC40,FASTKD1
COL4A1,CCNA2
PDCD4,ITFG1
AXL,ZUFSP
CER1,SFRP1
DCAF6,ID2
TFB2M,APOBEC3G
HTRA1,ODC1
