tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	Unnamed: 17
9606	Homo sapiens	7040	0	live	TGFB1	CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta	transforming growth factor beta 1	transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1	19q13.2	19	NC_000019.10	41330323.0	41353922.0	minus	7.0	190180.0	
9606	Homo sapiens	1493	0	live	CTLA4	ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12	cytotoxic T-lymphocyte associated protein 4	cytotoxic T-lymphocyte protein 4|celiac disease 3|cytotoxic T lymphocyte associated antigen 4 short spliced form|cytotoxic T-lymphocyte-associated serine esterase-4|gluten-sensitive enteropathy|insulin-dependent diabetes mellitus 12|ligand and transmembrane spliced cytotoxic T lymphocyte associated antigen 4	2q33.2	2	NC_000002.12	203867771.0	203873965.0	plus	4.0	123890.0	
9606	Homo sapiens	1956	0	live	EGFR	ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA	epidermal growth factor receptor	epidermal growth factor receptor|EGFR vIII|avian erythroblastic leukemia viral (v-erb-b) oncogene homolog|cell growth inhibiting protein 40|cell proliferation-inducing protein 61|epidermal growth factor receptor tyrosine kinase domain|erb-b2 receptor tyrosine kinase 1|proto-oncogene c-ErbB-1|receptor tyrosine-protein kinase erbB-1	7p11.2	7	NC_000007.14	55019017.0	55211628.0	plus	32.0	131550.0	
9606	Homo sapiens	2099	0	live	ESR1	ER, ESR, ESRA, ESTRR, Era, NR3A1	estrogen receptor 1	estrogen receptor|E2 receptor alpha|ER-alpha|estradiol receptor|estrogen nuclear receptor alpha|estrogen receptor alpha E1-E2-1-2|estrogen receptor alpha E1-N2-E2-1-2|nuclear receptor subfamily 3 group A member 1|oestrogen receptor alpha	6q25.1-q25.2	6	NC_000006.12	151656672.0	152129619.0	plus	22.0	133430.0	
9606	Homo sapiens	3569	0	live	IL6	BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6	interleukin 6	interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2	7p15.3	7	NC_000007.14	22727200.0	22731998.0	plus	5.0	147620.0	
9606	Homo sapiens	4609	0	live	MYC	MRTLC, bHLHe39, c-Myc, MYC	MYC proto-oncogene, bHLH transcription factor	myc proto-oncogene protein|avian myelocytomatosis viral oncogene homolog|class E basic helix-loop-helix protein 39|myc-related translation/localization regulatory factor|proto-oncogene c-Myc|transcription factor p64|v-myc avian myelocytomatosis viral oncogene homolog|v-myc myelocytomatosis viral oncogene homolog	8q24.21	8	NC_000008.11	127735434.0	127742951.0	plus	3.0	190080.0	
9606	Homo sapiens	841	0	live	CASP8	ALPS2B, CAP4, Casp-8, FLICE, MACH, MCH5	caspase 8	caspase-8|FADD-homologous ICE/CED-3-like protease|FADD-like ICE|ICE-like apoptotic protease 5|MACH-alpha-1/2/3 protein|MACH-beta-1/2/3/4 protein|MORT1-associated ced-3 homolog|apoptotic cysteine protease|apoptotic protease Mch-5|caspase 8, apoptosis-related cysteine peptidase|caspase 8, apoptosis-related cysteine protease	2q33.1	2	NC_000002.12	201233463.0	201287711.0	plus	16.0	601763.0	
9606	Homo sapiens	207	0	live	AKT1	AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	AKT serine/threonine kinase 1	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1	14q32.33	14	NC_000014.9	104769349.0	104795748.0	minus	17.0	164730.0	
9606	Homo sapiens	367	0	live	AR	AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR	androgen receptor	androgen receptor|dihydrotestosterone receptor|nuclear receptor subfamily 3 group C member 4	Xq12	X	NC_000023.11	67544021.0	67730619.0	plus	11.0	313700.0	
9606	Homo sapiens	5970	0	live	RELA	AIF3BL3, CMCU, NFKB3, p65	RELA proto-oncogene, NF-kB subunit	transcription factor p65|NF-kappa-B p65delta3|NF-kappa-B transcription factor p65|nuclear factor NF-kappa-B p65 subunit|nuclear factor of kappa light polypeptide gene enhancer in B-cells 3|v-rel avian reticuloendotheliosis viral oncogene homolog A	11q13.1	11	NC_000011.10	65653601.0	65663857.0	minus	13.0	164014.0	
9606	Homo sapiens	4780	0	live	NFE2L2	HEBP1, IMDDHH, NRF2, Nrf-2	NFE2 like bZIP transcription factor 2	nuclear factor erythroid 2-related factor 2|nuclear factor erythroid-derived 2-like 2|nuclear factor, erythroid 2 like 2	2q31.2	2	NC_000002.12	177230303.0	177264727.0	minus	6.0	600492.0	
9606	Homo sapiens	4233	0	live	MET	AUTS9, DA11, DFNB97, HGFR, RCCP2, c-Met	MET proto-oncogene, receptor tyrosine kinase	hepatocyte growth factor receptor|HGF receptor|HGF/SF receptor|SF receptor|proto-oncogene c-Met|scatter factor receptor|tyrosine-protein kinase Met	7q31.2	7	NC_000007.14	116672196.0	116798377.0	plus	22.0	164860.0	
9606	Homo sapiens	5468	0	live	PPARG	CIMT1, GLM1, NR1C31, PPARG2, PPARG5, PPARgamma, PPARG	peroxisome proliferator activated receptor gamma	peroxisome proliferator-activated receptor gamma|PPAR-gamma|nuclear receptor subfamily 1 group C member 3|peroxisome proliferator-activated receptor-gamma 5|peroxisome proliferator-activated receptor-gamma splicing	3p25.2	3	NC_000003.12	12287368.0	12434344.0	plus	14.0	601487.0	
9606	Homo sapiens	7015	0	live	TERT	CMM9, DKCA2, DKCB4, EST2, PFBMFT1, TCS1, TP2, TRT, hEST2, hTRT	telomerase reverse transcriptase	telomerase reverse transcriptase|telomerase catalytic subunit|telomerase-associated protein 2	5p15.33	5	NC_000005.10	1253167.0	1295068.0	minus	16.0	187270.0	
9606	Homo sapiens	6935	0	live	ZEB1	AREB6, BZP, DELTAEF1, FECD6, NIL2A, PPCD3, TCF8, ZFHEP, ZFHX1A	zinc finger E-box binding homeobox 1	zinc finger E-box-binding homeobox 1|delta-crystallin enhancer binding factor 1|negative regulator of IL2|posterior polymorphous corneal dystrophy 3|transcription factor 8 (represses interleukin 2 expression)|zinc finger homeodomain enhancer-binding protein	10p11.22	10	NC_000010.11	31318417.0	31529804.0	plus	22.0	189909.0	
9606	Homo sapiens	3586	0	live	IL10	CSIF, GVHDS, IL-10A, TGIF, IL10	interleukin 10	interleukin-10|T-cell growth inhibitory factor|cytokine synthesis inhibitory factor	1q32.1	1	NC_000001.11	206767602.0	206772494.0	minus	7.0	124092.0	
9606	Homo sapiens	627	0	live	BDNF	ANON2, BULN2	brain derived neurotrophic factor	brain-derived neurotrophic factor|abrineurin|neurotrophin	11p14.1	11	NC_000011.10	27654893.0	27722030.0	minus	12.0	113505.0	
9606	Homo sapiens	3576	0	live	CXCL8	GCP-1, GCP1, IL8, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1, SCYB8	C-X-C motif chemokine ligand 8	interleukin-8|T-cell chemotactic factor|alveolar macrophage chemotactic factor I|beta endothelial cell-derived neutrophil activating peptide|beta-thromboglobulin-like protein|chemokine (C-X-C motif) ligand 8|emoctakin|granulocyte chemotactic protein 1|interleukin 8|lung giant cell carcinoma-derived chemotactic protein|lymphocyte derived neutrophil activating peptide|monocyte-derived neutrophil chemotactic factor|monocyte-derived neutrophil-activating peptide|neutrophil-activating peptide 1|small inducible cytokine subfamily B, member 8|tumor necrosis factor-induced gene 1	4q13.3	4	NC_000004.12	73740569.0	73743716.0	plus	3.0	146930.0	
9606	Homo sapiens	673	0	live	BRAF	B-RAF1, B-raf-1, BRAF1, NS7, RAFB1, BRAF	B-Raf proto-oncogene, serine/threonine kinase	serine/threonine-protein kinase B-raf|94 kDa B-raf protein|B-Raf proto-oncogene serine/threonine-protein kinase (p94)|B-Raf serine/threonine-protein|murine sarcoma viral (v-raf) oncogene homolog B1|proto-oncogene B-Raf|v-raf murine sarcoma viral oncogene homolog B|v-raf murine sarcoma viral oncogene homolog B1	7q34	7	NC_000007.14	140713328.0	140924929.0	minus	24.0	164757.0	
9606	Homo sapiens	26191	0	live	PTPN22	LYP, LYP1, LYP2, PEP.5, PTPN22.6, PTPN8, PTPN22	protein tyrosine phosphatase non-receptor type 22	tyrosine-protein phosphatase non-receptor type 22|PEST-domain phosphatase|hematopoietic cell protein-tyrosine phosphatase 70Z-PEP|lymphoid-specific protein tyrosine phosphatase|protein tyrosine phosphatase, non-receptor type 22 (lymphoid)|protein tyrosine phosphatase, non-receptor type 8	1p13.2	1	NC_000001.11	113813811.0	113871759.0	minus	23.0	600716.0	
9606	Homo sapiens	2908	0	live	NR3C1	GCCR, GCR, GCRST, GR, GRL	nuclear receptor subfamily 3 group C member 1	glucocorticoid receptor|nuclear receptor subfamily 3 group C member 1 variant hGR-B(54)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(77)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(93)|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	5q31.3	5	NC_000005.10	143277931.0	143435512.0	minus	15.0	138040.0	
9606	Homo sapiens	3458	0	live	IFNG	IFG, IFI, IMD69	interferon gamma	interferon gamma|IFN-gamma|immune interferon	12q15	12	NC_000012.12	68154768.0	68159740.0	minus	4.0	147570.0	
9606	Homo sapiens	2309	0	live	FOXO3	AF6q21, FKHRL1, FKHRL1P2, FOXO2A, FOXO3	forkhead box O3	forkhead box protein O3|FOXO3A-|forkhead box O3A|forkhead homolog (rhabdomyosarcoma) like 1|forkhead in rhabdomyosarcoma-like 1|forkhead, Drosophila, homolog of, in rhabdomyosarcoma-like 1	6q21	6	NC_000006.12	108559825.0	108684774.0	plus	10.0	602681.0	
9606	Homo sapiens	1499	0	live	CTNNB1	CTNNB, EVR7, MRD19, NEDSDV, armadillo	catenin beta 1	catenin beta-1|catenin (cadherin-associated protein), beta 1, 88kDa	3p22.1	3	NC_000003.12	41199505.0	41240443.0	plus	21.0	116806.0	
9606	Homo sapiens	351	0	live	APP	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4, APP	amyloid beta precursor protein	amyloid-beta precursor protein|alzheimer disease amyloid A4 protein homolog|alzheimer disease amyloid protein|amyloid beta (A4) precursor protein|amyloid beta A4 protein|amyloid precursor protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|beta-amyloid precursor protein|cerebral vascular amyloid peptide|peptidase nexin-II|protease nexin-II|testicular tissue protein Li 2	21q21.3	21	NC_000021.9	25880550.0	26171128.0	minus	20.0	104760.0	
9606	Homo sapiens	7421	0	live	VDR	NR1I1, PPP1R163	vitamin D receptor	vitamin D3 receptor|1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D (1,25- dihydroxyvitamin D3) receptor	12q13.11	12	NC_000012.12	47841537.0	47904994.0	minus	12.0	601769.0	
9606	Homo sapiens	5080	0	live	PAX6	AN, AN1, AN2, ASGD5, D11S812E, FVH1, MGDA, WAGR	paired box 6	paired box protein Pax-6|Aniridia 1|Aniridia 2|alternative protein PAX6|aniridia type II protein|oculorhombin|paired box 6 PAX6-12a isoform|paired box 6 PAX6A-ASdel6 isoform|paired box 6 PAX6A-ASdel6-AS7 isoform|paired box 6 PAX6A-del6 isoform|paired box 6 PAX6B-ASdel6 isoform|paired box 6 PAX6D isoform|paired box homeotic gene-6	11p13	11	NC_000011.10	31789026.0	31817961.0	minus	25.0	607108.0	
9606	Homo sapiens	4205	0	live	MEF2A	ADCAD1, RSRFC4, RSRFC9, mef2	myocyte enhancer factor 2A	myocyte-specific enhancer factor 2A|MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)|serum response factor-like protein 1	15q26.3	15	NC_000015.10	99565417.0	99716488.0	plus	22.0	600660.0	
9606	Homo sapiens	4318	0	live	MMP9	CLG4B, GELB, MANDP2, MMP-9	matrix metallopeptidase 9	matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase	20q13.12	20	NC_000020.11	46008908.0	46016561.0	plus	13.0	120361.0	
9606	Homo sapiens	324	0	live	APC	BTPS2, DESMD, DP2, DP2.5, DP3, GS, PPP1R46	APC regulator of WNT signaling pathway	adenomatous polyposis coli protein|APC, WNT signaling pathway regulator|WNT signaling pathway regulator|adenomatosis polyposis coli tumor suppressor|adenomatous polyposis coli (APC)|deleted in polyposis 2.5|epididymis secretory sperm binding protein|protein phosphatase 1, regulatory subunit 46	5q22.2	5	NC_000005.10	112707498.0	112846239.0	plus	20.0	611731.0	
9606	Homo sapiens	7099	0	live	TLR4	ARMD10, CD284, TLR-4, TOLL	toll like receptor 4	toll-like receptor 4|hToll|homolog of Drosophila toll|toll like receptor 4 protein	9q33.1	9	NC_000009.12	117704403.0	117724735.0	plus	4.0	603030.0	
9606	Homo sapiens	5743	0	live	PTGS2	COX-2, COX2, GRIPGHS, PGG/HS, PGHS-2, PHS-2, hCox-2	prostaglandin-endoperoxide synthase 2	prostaglandin G/H synthase 2|PGH synthase 2|PHS II|cyclooxygenase 2|cyclooxygenase 2b|prostaglandin H2 synthase 2|prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1q31.1	1	NC_000001.11	186671791.0	186680423.0	minus	10.0	600262.0	
9606	Homo sapiens	8626	0	live	TP63	AIS, B(p51A), B(p51B), EEC3, KET, LMS, NBP, OFC8, RHS, SHFM4, TP53CP, TP53L, TP73L, p40, p51, p53CP, p63, p73H, p73L	tumor protein p63	tumor protein 63|amplified in squamous cell carcinoma|chronic ulcerative stomatitis protein|keratinocyte transcription factor KET|transformation-related protein 63|tumor protein p53-competing protein	3q28	3	NC_000003.12	189596746.0	189897276.0	plus	17.0	603273.0	
9606	Homo sapiens	6772	0	live	STAT1	CANDF7, IMD31A, IMD31B, IMD31C, ISGF-3, STAT91	signal transducer and activator of transcription 1	signal transducer and activator of transcription 1-alpha/beta|signal transducer and activator of transcription 1, 91kD|signal transducer and activator of transcription 1, 91kDa|transcription factor ISGF-3 components p91/p84	2q32.2	2	NC_000002.12	190969149.0	191014171.0	minus	26.0	600555.0	
9606	Homo sapiens	5460	0	live	POU5F1	OCT3, OCT4, OTF-3, OTF3, OTF4, Oct-3, Oct-4, Oct3/4	POU class 5 homeobox 1	POU domain, class 5, transcription factor 1|POU domain transcription factor OCT4|POU-type homeodomain-containing DNA-binding protein|octamer-binding protein 3|octamer-binding protein 4|octamer-binding transcription factor 3	6p21.33	6	NC_000006.12	31164337.0	31170682.0	minus	6.0	164177.0	
9606	Homo sapiens	1029	0	live	CDKN2A	ARF, CAI2, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16	cyclin dependent kinase inhibitor 2A	cyclin-dependent kinase inhibitor 2A|CDK4 inhibitor p16-INK4|CDKN2A/ARF Intron 2 lncRNA|alternative reading frame|cell cycle negative regulator beta|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)|inhibitor of cdk4 A|multiple tumor suppressor 1|multiple tumour suppressor 1	9p21.3	9	NC_000009.12	21967752.0	21995324.0	minus	10.0	600160.0	
9606	Homo sapiens	1869	0	live	E2F1	E2F-1, RBAP1, RBBP3, RBP3	E2F transcription factor 1	transcription factor E2F1|PBR3|PRB-binding protein E2F-1|RBAP-1|RBBP-3|retinoblastoma-associated protein 1|retinoblastoma-binding protein 3|retinoblastoma-binding protein 3 (E2F-like)	20q11.22	20	NC_000020.11	33675477.0	33686385.0	minus	7.0	189971.0	
9606	Homo sapiens	4000	0	live	LMNA	CDCD1, CDDC, CMD1A, CMT2B1, EMD2, FPL, FPLD, FPLD2, HGPS, IDC, LDP1, LFP, LGMD1B, LMN1, LMNC, LMNL1, MADA, PRO1	lamin A/C	lamin|70 kDa lamin|epididymis secretory sperm binding protein|lamin A/C-like 1|lamin C|mandibuloacral dysplasia type A|prelamin-A/C|progerin|renal carcinoma antigen NY-REN-32	1q22	1	NC_000001.11	156082573.0	156140081.0	plus	20.0	150330.0	
9606	Homo sapiens	6667	0	live	SP1		Sp1 transcription factor	transcription factor Sp1|specificity protein 1	12q13.13	12	NC_000012.12	53380176.0	53416446.0	plus	7.0	189906.0	
9606	Homo sapiens	5599	0	live	MAPK8	JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c	mitogen-activated protein kinase 8	mitogen-activated protein kinase 8|JUN N-terminal kinase|MAP kinase 8|c-Jun N-terminal kinase 1|stress-activated protein kinase 1|stress-activated protein kinase 1c	10q11.22	10	NC_000010.11	48306677.0	48439360.0	plus	16.0	601158.0	
9606	Homo sapiens	3717	0	live	JAK2	JTK10	Janus kinase 2	tyrosine-protein kinase JAK2|JAK-2|Janus kinase 2 (a protein tyrosine kinase)	9p24.1	9	NC_000009.12	4984390.0	5129948.0	plus	28.0	147796.0	
9606	Homo sapiens	5728	0	live	PTEN	10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC11, PTENbeta, TEP1, PTEN	phosphatase and tensin homolog	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|MMAC1 phosphatase and tensin homolog deleted on chromosome 10|PTEN variant PTEN-K267Rfs*9|PTEN variant PTEN-L247*|PTEN variant PTEN-R234Afs*11|PTENepsilon|mitochondrial PTENalpha|mitochondrial phosphatase and tensin protein alpha|mutated in multiple advanced cancers 1|phosphatase and tensin-like protein|phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|protein tyrosine phosphatase	10q23.31	10	NC_000010.11	87863625.0	87971930.0	plus	10.0	601728.0	
9606	Homo sapiens	1401	0	live	CRP	PTX1	C-reactive protein	C-reactive protein|C-reactive protein, pentraxin-related|pentraxin 1	1q23.2	1	NC_000001.11	159712289.0	159714589.0	minus	3.0	123260.0	
9606	Homo sapiens	5243	0	live	ABCB1	ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1, p-170	ATP binding cassette subfamily B member 1	ATP-dependent translocase ABCB1|ATP-binding cassette, sub-family B (MDR/TAP), member 1|P-glycoprotein 1|colchicin sensitivity|doxorubicin resistance|multidrug resistance protein 1|phospholipid transporter ABCB1	7q21.12	7	NC_000007.14	87503017.0	87713295.0	minus	32.0	171050.0	
9606	Homo sapiens	1080	0	live	CFTR	ABC35, ABCC7, CF/MRP, MRP7, TNR-CFTR, dJ760C5.1, CFTR	CF transmembrane conductance regulator	cystic fibrosis transmembrane conductance regulator|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulating|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	7q31.2	7	NC_000007.14	117480025.0	117668665.0	plus	27.0	602421.0	
9606	Homo sapiens	3553	0	live	IL1B	IL-1, IL1-BETA, IL1F2, IL1beta	interleukin 1 beta	interleukin-1 beta|IL-1 beta|catabolin|interleukin 1beta|preinterleukin 1 beta|pro-interleukin-1-beta	2q14.1	2	NC_000002.12	112829751.0	112836779.0	minus	8.0	147720.0	
9606	Homo sapiens	6720	0	live	SREBF1	HMD, IFAP2, SREBP1, bHLHd1	sterol regulatory element binding transcription factor 1	sterol regulatory element-binding protein 1|class D basic helix-loop-helix protein 1	17p11.2	17	NC_000017.11	17811334.0	17836986.0	minus	22.0	184756.0	
9606	Homo sapiens	6934	0	live	TCF7L2	TCF-4, TCF4	transcription factor 7 like 2	transcription factor 7-like 2|HMG box transcription factor 4|T-cell factor 4|T-cell-specific transcription factor 4|hTCF-4|transcription factor 7-like 2 (T-cell specific, HMG-box)	10q25.2-q25.3	10	NC_000010.11	112950247.0	113167678.0	plus	20.0	602228.0	
9606	Homo sapiens	3725	0	live	JUN	AP-1, AP1, c-Jun, cJUN, p39	Jun proto-oncogene, AP-1 transcription factor subunit	transcription factor Jun|Jun activation domain binding protein|activator protein 1|enhancer-binding protein AP1|jun oncogene|proto-oncogene c-Jun|proto-oncogene cJun|transcription factor AP-1|transcription factor AP-1 subunit Jun|v-jun avian sarcoma virus 17 oncogene homolog|v-jun sarcoma virus 17 oncogene homolog	1p32.1	1	NC_000001.11	58780791.0	58784047.0	minus	1.0	165160.0	
9606	Homo sapiens	5054	0	live	SERPINE1	PAI, PAI-1, PAI1, PLANH1	serpin family E member 1	plasminogen activator inhibitor 1|endothelial plasminogen activator inhibitor|serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1|serpin E1|serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	7q22.1	7	NC_000007.14	101127104.0	101139247.0	plus	9.0	173360.0	
9606	Homo sapiens	2475	0	live	MTOR	FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS	mechanistic target of rapamycin kinase	serine/threonine-protein kinase mTOR|FK506 binding protein 12-rapamycin associated protein 2|FK506-binding protein 12-rapamycin complex-associated protein 1|FKBP-rapamycin associated protein|FKBP12-rapamycin complex-associated protein 1|mammalian target of rapamycin|mechanistic target of rapamycin (serine/threonine kinase)|rapamycin and FKBP12 target 1|rapamycin associated protein FRAP2|rapamycin target protein 1	1p36.22	1	NC_000001.11	11106535.0	11262551.0	minus	60.0	601231.0	
9606	Homo sapiens	4208	0	live	MEF2C	C5DELq14.3, DEL5q14.3, NEDHSIL	myocyte enhancer factor 2C	myocyte-specific enhancer factor 2C|MADS box transcription enhancer factor 2, polypeptide C	5q14.3	5	NC_000005.10	88717117.0	88904105.0	minus	21.0	600662.0	
9606	Homo sapiens	3479	0	live	IGF1	IGF, IGF-I, IGFI, MGF	insulin like growth factor 1	insulin-like growth factor I|insulin-like growth factor 1 (somatomedin C)|insulin-like growth factor IB|mechano growth factor|somatomedin-C	12q23.2	12	NC_000012.12	102395874.0	102481839.0	minus	7.0	147440.0	
